,RATE A,RATE B,RATE C,Total
03/02/2018 03.15,,,81.27,81.27
03/02/2018 03.30,,,82.43,82.43
03/02/2018 03.45,,,79.77,79.77
03/02/2018 04.00,,,76.96,76.96
03/02/2018 04.15,,,77.11,77.11
03/02/2018 04.30,,,77.27,77.27
03/02/2018 04.45,,,75,75
03/02/2018 05.00,,,73.32,73.32
03/02/2018 05.15,,,74.16,74.16
03/02/2018 05.30,,,72.67,72.67
03/02/2018 05.45,,,73.11,73.11
03/02/2018 06.00,,,73.19,73.19
03/02/2018 06.15,,,76.17,76.17
03/02/2018 06.30,,,72.06,72.06
03/02/2018 06.45,,,70.74,70.74
03/02/2018 07.00,,,66.74,66.74
03/02/2018 07.15,,,66.8,66.8
03/02/2018 07.30,,,67.01,67.01
03/02/2018 07.45,,,67.16,67.16
03/02/2018 08.00,,,64.83,64.83
03/02/2018 08.15,,,62.96,62.96
03/02/2018 08.30,,,62.43,62.43
03/02/2018 08.45,,,60.59,60.59
03/02/2018 09.00,,,59.46,59.46
03/02/2018 09.15,,,57.11,57.11
03/02/2018 09.30,,,49.53,49.53
03/02/2018 09.45,,,47.8,47.8
03/02/2018 10.00,,,44.79,44.79
03/02/2018 10.15,,,42.59,42.59
03/02/2018 10.30,,,41.48,41.48
03/02/2018 10.45,,,38.35,38.35
03/02/2018 11.00,,,38.08,38.08
03/02/2018 11.15,,,35.3,35.3
03/02/2018 11.30,,,32.11,32.11
03/02/2018 11.45,,,27.3,27.3
03/02/2018 12.00,,,31.85,31.85
03/02/2018 12.15,,,34.48,34.48
03/02/2018 12.30,,,32.92,32.92
03/02/2018 12.45,,,33.18,33.18
03/02/2018 13.00,,,32.06,32.06
03/02/2018 13.15,,,28.64,28.64
03/02/2018 13.30,,,25.16,25.16
03/02/2018 13.45,,,26.63,26.63
03/02/2018 14.00,,,31.98,31.98
03/02/2018 14.15,,,30.56,30.56
03/02/2018 14.30,,,26.55,26.55
03/02/2018 14.45,,,27.18,27.18
03/02/2018 15.00,,,30.42,30.42
03/02/2018 15.15,,,31.11,31.11
03/02/2018 15.30,,,35.35,35.35
03/02/2018 15.45,,,37.51,37.51
03/02/2018 16.00,,,36.58,36.58
03/02/2018 16.15,,,35.61,35.61
03/02/2018 16.30,,,34.5,34.5
03/02/2018 16.45,,,35.85,35.85
03/02/2018 17.00,,,35.77,35.77
03/02/2018 17.15,,,38.13,38.13
03/02/2018 17.30,,,35.34,35.34
03/02/2018 17.45,,,36.26,36.26
03/02/2018 18.00,,,38.42,38.42
03/02/2018 18.15,,,41.47,41.47
03/02/2018 18.30,,,43.17,43.17
03/02/2018 18.45,,,44.61,44.61
03/02/2018 19.00,,,43.93,43.93
03/02/2018 19.15,,,43.37,43.37
03/02/2018 19.30,,,42.85,42.85
03/02/2018 19.45,,,43.17,43.17
03/02/2018 20.00,,,45.77,45.77
03/02/2018 20.15,,,44.16,44.16
03/02/2018 20.30,,,43.03,43.03
03/02/2018 20.45,,,44.67,44.67
03/02/2018 21.00,,,44.19,44.19
03/02/2018 21.15,,,46.85,46.85
03/02/2018 21.30,,,48.85,48.85
03/02/2018 21.45,,,49.35,49.35
03/02/2018 22.00,,,52.9,52.9
03/02/2018 22.15,,,50.77,50.77
03/02/2018 22.30,,,55.03,55.03
03/02/2018 22.45,,,55.29,55.29
03/02/2018 23.00,,,63.01,63.01
03/02/2018 23.15,,,65,65
03/02/2018 23.30,,,63.11,63.11
03/02/2018 23.45,,,66.66,66.66
03/02/2018 24.00,,,63.19,63.19
04/02/2018 00.15,,,67.85,67.85
04/02/2018 00.30,,,64.79,64.79
04/02/2018 00.45,,,68.35,68.35
