,RATE A,RATE B,RATE C,Total
04/05/2018 22.45,,106.67,,106.67
04/05/2018 23.00,,106.64,,106.64
04/05/2018 23.15,,110.91,,110.91
04/05/2018 23.30,,114.41,,114.41
04/05/2018 23.45,,121.25,,121.25
04/05/2018 24.00,,119.61,,119.61
05/05/2018 00.15,,,121.77,121.77
05/05/2018 00.30,,,126.1,126.1
05/05/2018 00.45,,,125.12,125.12
05/05/2018 01.00,,,126.49,126.49
05/05/2018 01.15,,,125.56,125.56
05/05/2018 01.30,,,125.1,125.1
05/05/2018 01.45,,,121.65,121.65
05/05/2018 02.00,,,116.98,116.98
05/05/2018 02.15,,,115.54,115.54
05/05/2018 02.30,,,112.83,112.83
05/05/2018 02.45,,,111.72,111.72
05/05/2018 03.00,,,109.86,109.86
05/05/2018 03.15,,,109.98,109.98
05/05/2018 03.30,,,106.54,106.54
05/05/2018 03.45,,,105.03,105.03
05/05/2018 04.00,,,104.27,104.27
05/05/2018 04.15,,,103.75,103.75
05/05/2018 04.30,,,101.54,101.54
05/05/2018 04.45,,,99.65,99.65
05/05/2018 05.00,,,98.36,98.36
05/05/2018 05.15,,,99.48,99.48
05/05/2018 05.30,,,99.65,99.65
05/05/2018 05.45,,,100.54,100.54
05/05/2018 06.00,,,98.48,98.48
05/05/2018 06.15,,,95.88,95.88
05/05/2018 06.30,,,92.82,92.82
05/05/2018 06.45,,,88.83,88.83
05/05/2018 07.00,,,88.09,88.09
05/05/2018 07.15,,,84.01,84.01
05/05/2018 07.30,,,84.93,84.93
05/05/2018 07.45,,,83.16,83.16
05/05/2018 08.00,,,84.77,84.77
05/05/2018 08.15,,,81.33,81.33
05/05/2018 08.30,,,79.38,79.38
05/05/2018 08.45,,,81.24,81.24
05/05/2018 09.00,,,80.32,80.32
05/05/2018 09.15,,,74.77,74.77
05/05/2018 09.30,,,76.16,76.16
05/05/2018 09.45,,,72.03,72.03
05/05/2018 10.00,,,68.33,68.33
05/05/2018 10.15,,,68.19,68.19
05/05/2018 10.30,,,62.54,62.54
05/05/2018 10.45,,,68.56,68.56
05/05/2018 11.00,,,73.58,73.58
05/05/2018 11.15,,,67.32,67.32
05/05/2018 11.30,,,64.22,64.22
05/05/2018 11.45,,,72.72,72.72
05/05/2018 12.00,,,72.19,72.19
05/05/2018 12.15,,,68.32,68.32
05/05/2018 12.30,,,67.67,67.67
05/05/2018 12.45,,,64.56,64.56
05/05/2018 13.00,,,61.58,61.58
05/05/2018 13.15,,,63.48,63.48
05/05/2018 13.30,,,61.61,61.61
05/05/2018 13.45,,,60.4,60.4
05/05/2018 14.00,,,64.66,64.66
05/05/2018 14.15,,,69.75,69.75
05/05/2018 14.30,,,64.93,64.93
05/05/2018 14.45,,,68.08,68.08
05/05/2018 15.00,,,71.58,71.58
05/05/2018 15.15,,,68.77,68.77
05/05/2018 15.30,,,65.75,65.75
05/05/2018 15.45,,,65.08,65.08
05/05/2018 16.00,,,63.21,63.21
05/05/2018 16.15,,,60.11,60.11
05/05/2018 16.30,,,64.42,64.42
05/05/2018 16.45,,,65.3,65.3
05/05/2018 17.00,,,65.72,65.72
05/05/2018 17.15,,,66.25,66.25
05/05/2018 17.30,,,67.69,67.69
05/05/2018 17.45,,,67.8,67.8
05/05/2018 18.00,,,66.59,66.59
05/05/2018 18.15,,,66.21,66.21
05/05/2018 18.30,,,69.48,69.48
05/05/2018 18.45,,,72.35,72.35
05/05/2018 19.00,,,74.06,74.06
05/05/2018 19.15,,,77.61,77.61
05/05/2018 19.30,,,79.74,79.74
05/05/2018 19.45,,,78.85,78.85
05/05/2018 20.00,,,77.17,77.17
05/05/2018 20.15,,,78.54,78.54
05/05/2018 20.30,,,78.99,78.99
05/05/2018 20.45,,,81.04,81.04
05/05/2018 21.00,,,83.43,83.43
05/05/2018 21.15,,,89.16,89.16
05/05/2018 21.30,,,91.24,91.24
05/05/2018 21.45,,,93.4,93.4
05/05/2018 22.00,,,97.78,97.78
05/05/2018 22.15,,,93.83,93.83
05/05/2018 22.30,,,99.17,99.17
05/05/2018 22.45,,,106.43,106.43
05/05/2018 23.00,,,103.91,103.91
05/05/2018 23.15,,,106.96,106.96
05/05/2018 23.30,,,109.88,109.88
05/05/2018 23.45,,,111.67,111.67
05/05/2018 24.00,,,115.27,115.27
06/05/2018 00.15,,,118.94,118.94
06/05/2018 00.30,,,119.69,119.69
06/05/2018 00.45,,,122.36,122.36
06/05/2018 01.00,,,119.9,119.9
06/05/2018 01.15,,,121.78,121.78
06/05/2018 01.30,,,118.46,118.46
06/05/2018 01.45,,,120.54,120.54
06/05/2018 02.00,,,115.77,115.77
06/05/2018 02.15,,,116.41,116.41
06/05/2018 02.30,,,113.96,113.96
06/05/2018 02.45,,,112.67,112.67
06/05/2018 03.00,,,114.28,114.28
06/05/2018 03.15,,,110.85,110.85
06/05/2018 03.30,,,109.88,109.88
06/05/2018 03.45,,,106.75,106.75
06/05/2018 04.00,,,107.12,107.12
06/05/2018 04.15,,,106.98,106.98
06/05/2018 04.30,,,106.28,106.28
06/05/2018 04.45,,,106.69,106.69
06/05/2018 05.00,,,102.24,102.24
06/05/2018 05.15,,,103.27,103.27
06/05/2018 05.30,,,103.48,103.48
06/05/2018 05.45,,,102.61,102.61
06/05/2018 06.00,,,103.2,103.2
06/05/2018 06.15,,,98.03,98.03
06/05/2018 06.30,,,97.74,97.74
06/05/2018 06.45,,,94.11,94.11
06/05/2018 07.00,,,93.72,93.72
06/05/2018 07.15,,,90.17,90.17
06/05/2018 07.30,,,91.95,91.95
06/05/2018 07.45,,,91.12,91.12
06/05/2018 08.00,,,90.04,90.04
06/05/2018 08.15,,,92.38,92.38
06/05/2018 08.30,,,91.93,91.93
06/05/2018 08.45,,,86.8,86.8
06/05/2018 09.00,,,84.75,84.75
06/05/2018 09.15,,,84.17,84.17
06/05/2018 09.30,,,79.53,79.53
06/05/2018 09.45,,,79.11,79.11
06/05/2018 10.00,,,78.88,78.88
06/05/2018 10.15,,,76.75,76.75
06/05/2018 10.30,,,75.58,75.58
06/05/2018 10.45,,,74.27,74.27
06/05/2018 11.00,,,73.24,73.24
06/05/2018 11.15,,,68.08,68.08
06/05/2018 11.30,,,68.16,68.16
06/05/2018 11.45,,,65.67,65.67
