,RATE A,RATE B,RATE C,Total
03/03/2018 17.30,,,78.83,78.83
03/03/2018 17.45,,,81.69,81.69
03/03/2018 18.00,,,82.37,82.37
03/03/2018 18.15,,,82.46,82.46
03/03/2018 18.30,,,84.06,84.06
03/03/2018 18.45,,,83.45,83.45
03/03/2018 19.00,,,89.67,89.67
03/03/2018 19.15,,,91.74,91.74
03/03/2018 19.30,,,94.2,94.2
03/03/2018 19.45,,,93.99,93.99
03/03/2018 20.00,,,94.67,94.67
03/03/2018 20.15,,,95.69,95.69
03/03/2018 20.30,,,95.25,95.25
03/03/2018 20.45,,,98.01,98.01
03/03/2018 21.00,,,99.86,99.86
03/03/2018 21.15,,,104.7,104.7
03/03/2018 21.30,,,108.85,108.85
03/03/2018 21.45,,,113.4,113.4
03/03/2018 22.00,,,116.96,116.96
03/03/2018 22.15,,,120.23,120.23
03/03/2018 22.30,,,128.25,128.25
03/03/2018 22.45,,,128.15,128.15
03/03/2018 23.00,,,127.43,127.43
03/03/2018 23.15,,,132.44,132.44
03/03/2018 23.30,,,132.64,132.64
03/03/2018 23.45,,,140.81,140.81
03/03/2018 24.00,,,143.75,143.75
04/03/2018 00.15,,,147.3,147.3
04/03/2018 00.30,,,154.49,154.49
04/03/2018 00.45,,,154.67,154.67
04/03/2018 01.00,,,156.31,156.31
04/03/2018 01.15,,,158.72,158.72
04/03/2018 01.30,,,159.91,159.91
04/03/2018 01.45,,,158.73,158.73
04/03/2018 02.00,,,154.81,154.81
04/03/2018 02.15,,,154.65,154.65
04/03/2018 02.30,,,150.78,150.78
04/03/2018 02.45,,,147.85,147.85
04/03/2018 03.00,,,149.43,149.43
04/03/2018 03.15,,,144.97,144.97
04/03/2018 03.30,,,144.85,144.85
04/03/2018 03.45,,,143.59,143.59
04/03/2018 04.00,,,142.15,142.15
04/03/2018 04.15,,,142.09,142.09
04/03/2018 04.30,,,135.46,135.46
04/03/2018 04.45,,,134.99,134.99
04/03/2018 05.00,,,133.12,133.12
04/03/2018 05.15,,,134.12,134.12
04/03/2018 05.30,,,136.96,136.96
04/03/2018 05.45,,,131.27,131.27
04/03/2018 06.00,,,129.39,129.39
04/03/2018 06.15,,,124.93,124.93
04/03/2018 06.30,,,122.56,122.56
04/03/2018 06.45,,,120.96,120.96
04/03/2018 07.00,,,114.65,114.65
04/03/2018 07.15,,,114.19,114.19
04/03/2018 07.30,,,112.88,112.88
04/03/2018 07.45,,,110.51,110.51
04/03/2018 08.00,,,112.49,112.49
04/03/2018 08.15,,,108.12,108.12
04/03/2018 08.30,,,107.93,107.93
04/03/2018 08.45,,,107.11,107.11
