,RATE A,RATE B,RATE C,Total
03/11/2018 05.30,,,79.19,79.19
03/11/2018 05.45,,,76.72,76.72
03/11/2018 06.00,,,73.12,73.12
03/11/2018 06.15,,,73.17,73.17
03/11/2018 06.30,,,70.75,70.75
03/11/2018 06.45,,,71.12,71.12
03/11/2018 07.00,,,69.3,69.3
03/11/2018 07.15,,,69.79,69.79
03/11/2018 07.30,,,72.01,72.01
03/11/2018 07.45,,,69.88,69.88
03/11/2018 08.00,,,68.91,68.91
03/11/2018 08.15,,,66.79,66.79
03/11/2018 08.30,,,68.08,68.08
03/11/2018 08.45,,,67.16,67.16
03/11/2018 09.00,,,68.41,68.41
03/11/2018 09.15,,,64.38,64.38
03/11/2018 09.30,,,62.59,62.59
03/11/2018 09.45,,,59.61,59.61
03/11/2018 10.00,,,54.84,54.84
03/11/2018 10.15,,,52.06,52.06
03/11/2018 10.30,,,49.8,49.8
03/11/2018 10.45,,,52.74,52.74
03/11/2018 11.00,,,52.11,52.11
03/11/2018 11.15,,,52.51,52.51
03/11/2018 11.30,,,47.16,47.16
03/11/2018 11.45,,,47.59,47.59
03/11/2018 12.00,,,47.27,47.27
03/11/2018 12.15,,,47.59,47.59
03/11/2018 12.30,,,46.92,46.92
03/11/2018 12.45,,,47.9,47.9
03/11/2018 13.00,,,47.82,47.82
03/11/2018 13.15,,,48.4,48.4
03/11/2018 13.30,,,53.01,53.01
03/11/2018 13.45,,,52.8,52.8
03/11/2018 14.00,,,49.14,49.14
03/11/2018 14.15,,,50.63,50.63
03/11/2018 14.30,,,50.9,50.9
03/11/2018 14.45,,,49.9,49.9
03/11/2018 15.00,,,50.22,50.22
03/11/2018 15.15,,,51.77,51.77
03/11/2018 15.30,,,58.24,58.24
03/11/2018 15.45,,,55.34,55.34
03/11/2018 16.00,,,63.01,63.01
03/11/2018 16.15,,,61.29,61.29
03/11/2018 16.30,,,60.29,60.29
03/11/2018 16.45,,,61.56,61.56
03/11/2018 17.00,,,60.14,60.14
03/11/2018 17.15,,,63.06,63.06
03/11/2018 17.30,,,65.56,65.56
03/11/2018 17.45,,,66.45,66.45
03/11/2018 18.00,,,66.16,66.16
03/11/2018 18.15,,,67.08,67.08
03/11/2018 18.30,,,68.74,68.74
03/11/2018 18.45,,,71.25,71.25
03/11/2018 19.00,,,70.3,70.3
03/11/2018 19.15,,,69.91,69.91
03/11/2018 19.30,,,70.95,70.95
03/11/2018 19.45,,,69.85,69.85
03/11/2018 20.00,,,67.51,67.51
03/11/2018 20.15,,,69.35,69.35
03/11/2018 20.30,,,69.5,69.5
03/11/2018 20.45,,,71.69,71.69
03/11/2018 21.00,,,70.5,70.5
03/11/2018 21.15,,,76.91,76.91
03/11/2018 21.30,,,74.04,74.04
03/11/2018 21.45,,,76.01,76.01
03/11/2018 22.00,,,80.82,80.82
03/11/2018 22.15,,,87.08,87.08
03/11/2018 22.30,,,88.11,88.11
03/11/2018 22.45,,,85.12,85.12
03/11/2018 23.00,,,85.27,85.27
03/11/2018 23.15,,,88.28,88.28
03/11/2018 23.30,,,91.43,91.43
03/11/2018 23.45,,,91.09,91.09
03/11/2018 24.00,,,92.25,92.25
04/11/2018 00.15,,,94.22,94.22
04/11/2018 00.30,,,95.32,95.32
04/11/2018 00.45,,,95.66,95.66
04/11/2018 01.00,,,96.61,96.61
04/11/2018 01.15,,,93.78,93.78
04/11/2018 01.30,,,92.99,92.99
04/11/2018 01.45,,,92.54,92.54
04/11/2018 02.00,,,92.2,92.2
04/11/2018 02.15,,,90.95,90.95
04/11/2018 02.30,,,94.99,94.99
04/11/2018 02.45,,,94.36,94.36
04/11/2018 03.00,,,92.54,92.54
04/11/2018 03.15,,,90.78,90.78
04/11/2018 03.30,,,89.49,89.49
04/11/2018 03.45,,,88.01,88.01
04/11/2018 04.00,,,86.59,86.59
04/11/2018 04.15,,,87.69,87.69
04/11/2018 04.30,,,85.08,85.08
04/11/2018 04.45,,,82.51,82.51
04/11/2018 05.00,,,80.48,80.48
04/11/2018 05.15,,,79.27,79.27
04/11/2018 05.30,,,79.96,79.96
04/11/2018 05.45,,,80.4,80.4
04/11/2018 06.00,,,78.35,78.35
04/11/2018 06.15,,,76.53,76.53
04/11/2018 06.30,,,73.01,73.01
04/11/2018 06.45,,,72.08,72.08
04/11/2018 07.00,,,69.33,69.33
04/11/2018 07.15,,,68.46,68.46
04/11/2018 07.30,,,69.12,69.12
04/11/2018 07.45,,,67.96,67.96
04/11/2018 08.00,,,67.64,67.64
04/11/2018 08.15,,,66.22,66.22
04/11/2018 08.30,,,67.51,67.51
04/11/2018 08.45,,,69.43,69.43
04/11/2018 09.00,,,67.75,67.75
04/11/2018 09.15,,,63.29,63.29
04/11/2018 09.30,,,60.45,60.45
04/11/2018 09.45,,,59.72,59.72
04/11/2018 10.00,,,58.37,58.37
04/11/2018 10.15,,,57.53,57.53
04/11/2018 10.30,,,54.87,54.87
04/11/2018 10.45,,,55.38,55.38
