,RATE A,RATE B,RATE C,Total
03/10/2018 09.15,95.24,,,95.24
03/10/2018 09.30,94.66,,,94.66
03/10/2018 09.45,97.95,,,97.95
03/10/2018 10.00,89.77,,,89.77
03/10/2018 10.15,89.45,,,89.45
03/10/2018 10.30,86.35,,,86.35
03/10/2018 10.45,88.9,,,88.9
03/10/2018 11.00,87.24,,,87.24
03/10/2018 11.15,93.82,,,93.82
03/10/2018 11.30,83.14,,,83.14
03/10/2018 11.45,85.95,,,85.95
03/10/2018 12.00,80.88,,,80.88
03/10/2018 12.15,87.87,,,87.87
03/10/2018 12.30,85.16,,,85.16
03/10/2018 12.45,85.24,,,85.24
03/10/2018 13.00,85.24,,,85.24
03/10/2018 13.15,85.64,,,85.64
03/10/2018 13.30,82.17,,,82.17
03/10/2018 13.45,81.11,,,81.11
03/10/2018 14.00,93.41,,,93.41
03/10/2018 14.15,80.25,,,80.25
03/10/2018 14.30,84.74,,,84.74
03/10/2018 14.45,88.01,,,88.01
03/10/2018 15.00,91.9,,,91.9
03/10/2018 15.15,90.74,,,90.74
03/10/2018 15.30,88.2,,,88.2
03/10/2018 15.45,87.2,,,87.2
03/10/2018 16.00,98.22,,,98.22
03/10/2018 16.15,97.82,,,97.82
03/10/2018 16.30,99.03,,,99.03
03/10/2018 16.45,102.88,,,102.88
03/10/2018 17.00,101.85,,,101.85
03/10/2018 17.15,106.85,,,106.85
03/10/2018 17.30,101.75,,,101.75
03/10/2018 17.45,103.64,,,103.64
03/10/2018 18.00,104.11,,,104.11
03/10/2018 18.15,107.32,,,107.32
03/10/2018 18.30,104.88,,,104.88
03/10/2018 18.45,107.75,,,107.75
03/10/2018 19.00,105.53,,,105.53
03/10/2018 19.15,106.49,,,106.49
03/10/2018 19.30,105.44,,,105.44
03/10/2018 19.45,105.88,,,105.88
03/10/2018 20.00,109.43,,,109.43
03/10/2018 20.15,108.98,,,108.98
03/10/2018 20.30,112.32,,,112.32
03/10/2018 20.45,115.12,,,115.12
03/10/2018 21.00,115.82,,,115.82
03/10/2018 21.15,122.19,,,122.19
03/10/2018 21.30,123.7,,,123.7
03/10/2018 21.45,126.65,,,126.65
03/10/2018 22.00,127.7,,,127.7
03/10/2018 22.15,,135.38,,135.38
03/10/2018 22.30,,138.22,,138.22
03/10/2018 22.45,,139.65,,139.65
03/10/2018 23.00,,141.47,,141.47
03/10/2018 23.15,,149.78,,149.78
03/10/2018 23.30,,148.68,,148.68
03/10/2018 23.45,,151.12,,151.12
03/10/2018 24.00,,155.3,,155.3
04/10/2018 00.15,,159.68,,159.68
04/10/2018 00.30,,166.07,,166.07
04/10/2018 00.45,,164.05,,164.05
04/10/2018 01.00,,161.43,,161.43
04/10/2018 01.15,,162.96,,162.96
04/10/2018 01.30,,166.26,,166.26
04/10/2018 01.45,,161.52,,161.52
04/10/2018 02.00,,160.93,,160.93
04/10/2018 02.15,,156.26,,156.26
04/10/2018 02.30,,153.07,,153.07
04/10/2018 02.45,,150.39,,150.39
04/10/2018 03.00,,149.07,,149.07
04/10/2018 03.15,,147.81,,147.81
04/10/2018 03.30,,146.96,,146.96
04/10/2018 03.45,,144.7,,144.7
04/10/2018 04.00,,143.3,,143.3
04/10/2018 04.15,,139.93,,139.93
04/10/2018 04.30,,138.72,,138.72
04/10/2018 04.45,,136.17,,136.17
04/10/2018 05.00,,135.93,,135.93
04/10/2018 05.15,,132.81,,132.81
04/10/2018 05.30,,132.64,,132.64
04/10/2018 05.45,,129.93,,129.93
04/10/2018 06.00,,128.25,,128.25
04/10/2018 06.15,,128.04,,128.04
04/10/2018 06.30,,120.54,,120.54
04/10/2018 06.45,,120.41,,120.41
04/10/2018 07.00,,125.41,,125.41
04/10/2018 07.15,,123.65,,123.65
04/10/2018 07.30,,124.7,,124.7
04/10/2018 07.45,,123.12,,123.12
04/10/2018 08.00,,119.94,,119.94
04/10/2018 08.15,,111.25,,111.25
04/10/2018 08.30,,114.88,,114.88
04/10/2018 08.45,,111.83,,111.83
04/10/2018 09.00,,105.25,,105.25
04/10/2018 09.15,101.57,,,101.57
04/10/2018 09.30,103.19,,,103.19
04/10/2018 09.45,107.98,,,107.98
04/10/2018 10.00,106.48,,,106.48
04/10/2018 10.15,96.2,,,96.2
04/10/2018 10.30,92.2,,,92.2
04/10/2018 10.45,86.46,,,86.46
04/10/2018 11.00,92.22,,,92.22
04/10/2018 11.15,85.12,,,85.12
04/10/2018 11.30,76.53,,,76.53
04/10/2018 11.45,70.91,,,70.91
04/10/2018 12.00,74.27,,,74.27
04/10/2018 12.15,74.9,,,74.9
04/10/2018 12.30,77.53,,,77.53
04/10/2018 12.45,77.85,,,77.85
04/10/2018 13.00,78.87,,,78.87
04/10/2018 13.15,81.87,,,81.87
04/10/2018 13.30,89.19,,,89.19
04/10/2018 13.45,89.9,,,89.9
04/10/2018 14.00,89.9,,,89.9
04/10/2018 14.15,95.9,,,95.9
04/10/2018 14.30,99.53,,,99.53
04/10/2018 14.45,101.91,,,101.91
04/10/2018 15.00,104.44,,,104.44
04/10/2018 15.15,99.22,,,99.22
04/10/2018 15.30,101.22,,,101.22
04/10/2018 15.45,104.2,,,104.2
04/10/2018 16.00,105.4,,,105.4
04/10/2018 16.15,101.41,,,101.41
04/10/2018 16.30,102.06,,,102.06
04/10/2018 16.45,98.3,,,98.3
04/10/2018 17.00,98.86,,,98.86
04/10/2018 17.15,96.78,,,96.78
04/10/2018 17.30,97.12,,,97.12
04/10/2018 17.45,96.17,,,96.17
04/10/2018 18.00,95.49,,,95.49
04/10/2018 18.15,101.04,,,101.04
04/10/2018 18.30,101.41,,,101.41
04/10/2018 18.45,105.74,,,105.74
04/10/2018 19.00,109.61,,,109.61
04/10/2018 19.15,110.41,,,110.41
04/10/2018 19.30,109.48,,,109.48
04/10/2018 19.45,111.72,,,111.72
04/10/2018 20.00,112.64,,,112.64
