,RATE A,RATE B,RATE C,Total
03/04/2018 06.30,,114.82,,114.82
03/04/2018 06.45,,112.72,,112.72
03/04/2018 07.00,,109.53,,109.53
03/04/2018 07.15,,110.27,,110.27
03/04/2018 07.30,,115.43,,115.43
03/04/2018 07.45,,110.11,,110.11
03/04/2018 08.00,,114.78,,114.78
03/04/2018 08.15,,116.98,,116.98
03/04/2018 08.30,,117.98,,117.98
03/04/2018 08.45,,114.35,,114.35
03/04/2018 09.00,,112.38,,112.38
03/04/2018 09.15,103.94,,,103.94
03/04/2018 09.30,93.54,,,93.54
03/04/2018 09.45,84.4,,,84.4
03/04/2018 10.00,73.79,,,73.79
03/04/2018 10.15,81.87,,,81.87
03/04/2018 10.30,76.06,,,76.06
03/04/2018 10.45,72.09,,,72.09
03/04/2018 11.00,70.54,,,70.54
03/04/2018 11.15,67.88,,,67.88
03/04/2018 11.30,66.93,,,66.93
03/04/2018 11.45,63.01,,,63.01
03/04/2018 12.00,65.74,,,65.74
03/04/2018 12.15,71.59,,,71.59
03/04/2018 12.30,71.08,,,71.08
03/04/2018 12.45,73.61,,,73.61
03/04/2018 13.00,75.51,,,75.51
03/04/2018 13.15,77.66,,,77.66
03/04/2018 13.30,77.27,,,77.27
03/04/2018 13.45,85.17,,,85.17
03/04/2018 14.00,88.33,,,88.33
03/04/2018 14.15,83.28,,,83.28
03/04/2018 14.30,84.56,,,84.56
03/04/2018 14.45,85.51,,,85.51
03/04/2018 15.00,92.22,,,92.22
03/04/2018 15.15,91.2,,,91.2
03/04/2018 15.30,95.22,,,95.22
03/04/2018 15.45,98.01,,,98.01
03/04/2018 16.00,93.98,,,93.98
03/04/2018 16.15,93.59,,,93.59
03/04/2018 16.30,90.85,,,90.85
03/04/2018 16.45,90.28,,,90.28
03/04/2018 17.00,92.24,,,92.24
03/04/2018 17.15,97.59,,,97.59
03/04/2018 17.30,96.66,,,96.66
03/04/2018 17.45,97.27,,,97.27
03/04/2018 18.00,101.62,,,101.62
03/04/2018 18.15,104.65,,,104.65
03/04/2018 18.30,105.65,,,105.65
03/04/2018 18.45,110.57,,,110.57
03/04/2018 19.00,107.69,,,107.69
03/04/2018 19.15,101.53,,,101.53
03/04/2018 19.30,104.53,,,104.53
03/04/2018 19.45,105.83,,,105.83
03/04/2018 20.00,108.19,,,108.19
03/04/2018 20.15,112.23,,,112.23
03/04/2018 20.30,112.59,,,112.59
03/04/2018 20.45,116.44,,,116.44
03/04/2018 21.00,123.3,,,123.3
03/04/2018 21.15,126.72,,,126.72
03/04/2018 21.30,132.98,,,132.98
03/04/2018 21.45,137.39,,,137.39
03/04/2018 22.00,143.06,,,143.06
03/04/2018 22.15,,154.8,,154.8
03/04/2018 22.30,,160.52,,160.52
03/04/2018 22.45,,163.46,,163.46
03/04/2018 23.00,,167.25,,167.25
03/04/2018 23.15,,174.18,,174.18
03/04/2018 23.30,,178.99,,178.99
03/04/2018 23.45,,183.57,,183.57
03/04/2018 24.00,,190.52,,190.52
04/04/2018 00.15,,198.26,,198.26
04/04/2018 00.30,,201.31,,201.31
04/04/2018 00.45,,204.29,,204.29
04/04/2018 01.00,,209.68,,209.68
04/04/2018 01.15,,204.31,,204.31
04/04/2018 01.30,,198.78,,198.78
04/04/2018 01.45,,196.16,,196.16
04/04/2018 02.00,,192.17,,192.17
04/04/2018 02.15,,186.23,,186.23
04/04/2018 02.30,,181.91,,181.91
04/04/2018 02.45,,180.96,,180.96
04/04/2018 03.00,,177.15,,177.15
04/04/2018 03.15,,172.31,,172.31
04/04/2018 03.30,,168.6,,168.6
04/04/2018 03.45,,168.12,,168.12
04/04/2018 04.00,,164.73,,164.73
04/04/2018 04.15,,165.09,,165.09
04/04/2018 04.30,,163.36,,163.36
04/04/2018 04.45,,158.73,,158.73
04/04/2018 05.00,,158.2,,158.2
04/04/2018 05.15,,155.78,,155.78
04/04/2018 05.30,,155.91,,155.91
04/04/2018 05.45,,155.28,,155.28
04/04/2018 06.00,,156.36,,156.36
04/04/2018 06.15,,150.05,,150.05
04/04/2018 06.30,,146.33,,146.33
04/04/2018 06.45,,140.01,,140.01
04/04/2018 07.00,,143.41,,143.41
04/04/2018 07.15,,139.83,,139.83
04/04/2018 07.30,,144.72,,144.72
04/04/2018 07.45,,142.96,,142.96
04/04/2018 08.00,,136.14,,136.14
04/04/2018 08.15,,135.3,,135.3
04/04/2018 08.30,,128.19,,128.19
04/04/2018 08.45,,128.89,,128.89
04/04/2018 09.00,,122.27,,122.27
04/04/2018 09.15,119.43,,,119.43
04/04/2018 09.30,112.83,,,112.83
04/04/2018 09.45,110.54,,,110.54
04/04/2018 10.00,100.28,,,100.28
04/04/2018 10.15,82.49,,,82.49
04/04/2018 10.30,83.74,,,83.74
04/04/2018 10.45,79.9,,,79.9
04/04/2018 11.00,73.82,,,73.82
04/04/2018 11.15,72.59,,,72.59
04/04/2018 11.30,75.74,,,75.74
04/04/2018 11.45,78.33,,,78.33
04/04/2018 12.00,70.48,,,70.48
04/04/2018 12.15,73.77,,,73.77
04/04/2018 12.30,79.24,,,79.24
04/04/2018 12.45,77.51,,,77.51
04/04/2018 13.00,68.93,,,68.93
04/04/2018 13.15,68.09,,,68.09
04/04/2018 13.30,79.74,,,79.74
04/04/2018 13.45,79.35,,,79.35
04/04/2018 14.00,74.2,,,74.2
04/04/2018 14.15,78.41,,,78.41
04/04/2018 14.30,71.3,,,71.3
04/04/2018 14.45,71.5,,,71.5
04/04/2018 15.00,71.93,,,71.93
04/04/2018 15.15,73.08,,,73.08
04/04/2018 15.30,78.35,,,78.35
04/04/2018 15.45,79.24,,,79.24
04/04/2018 16.00,79.14,,,79.14
04/04/2018 16.15,81.49,,,81.49
04/04/2018 16.30,87.09,,,87.09
04/04/2018 16.45,87.27,,,87.27
04/04/2018 17.00,85.59,,,85.59
04/04/2018 17.15,91.07,,,91.07
04/04/2018 17.30,93.06,,,93.06
04/04/2018 17.45,90.51,,,90.51
04/04/2018 18.00,91.41,,,91.41
04/04/2018 18.15,91.77,,,91.77
04/04/2018 18.30,93.24,,,93.24
04/04/2018 18.45,92.51,,,92.51
04/04/2018 19.00,93.28,,,93.28
04/04/2018 19.15,96.57,,,96.57
04/04/2018 19.30,93.32,,,93.32
04/04/2018 19.45,97.9,,,97.9
04/04/2018 20.00,99.24,,,99.24
04/04/2018 20.15,101.75,,,101.75
04/04/2018 20.30,103.35,,,103.35
04/04/2018 20.45,106.96,,,106.96
04/04/2018 21.00,104.27,,,104.27
04/04/2018 21.15,105.94,,,105.94
04/04/2018 21.30,112.48,,,112.48
04/04/2018 21.45,123.35,,,123.35
04/04/2018 22.00,126.31,,,126.31
04/04/2018 22.15,,128.01,,128.01
04/04/2018 22.30,,137.94,,137.94
04/04/2018 22.45,,143.36,,143.36
04/04/2018 23.00,,147.49,,147.49
04/04/2018 23.15,,160.83,,160.83
