,RATE A,RATE B,RATE C,Total
03/06/2018 19.30,,,83.03,83.03
03/06/2018 19.45,,,84.67,84.67
03/06/2018 20.00,,,90.53,90.53
03/06/2018 20.15,,,91.95,91.95
03/06/2018 20.30,,,92.61,92.61
03/06/2018 20.45,,,95.25,95.25
03/06/2018 21.00,,,96.46,96.46
03/06/2018 21.15,,,98.77,98.77
03/06/2018 21.30,,,99.83,99.83
03/06/2018 21.45,,,106.01,106.01
03/06/2018 22.00,,,110.8,110.8
03/06/2018 22.15,,,115.52,115.52
03/06/2018 22.30,,,121.27,121.27
03/06/2018 22.45,,,124.22,124.22
03/06/2018 23.00,,,125.15,125.15
03/06/2018 23.15,,,126.49,126.49
03/06/2018 23.30,,,132.54,132.54
03/06/2018 23.45,,,136.06,136.06
03/06/2018 24.00,,,134.52,134.52
04/06/2018 00.15,,140.27,,140.27
04/06/2018 00.30,,139.99,,139.99
04/06/2018 00.45,,141.09,,141.09
04/06/2018 01.00,,141.1,,141.1
04/06/2018 01.15,,142.89,,142.89
04/06/2018 01.30,,141.52,,141.52
04/06/2018 01.45,,139.93,,139.93
04/06/2018 02.00,,138.97,,138.97
04/06/2018 02.15,,139.59,,139.59
04/06/2018 02.30,,138.51,,138.51
04/06/2018 02.45,,135.57,,135.57
04/06/2018 03.00,,130.94,,130.94
04/06/2018 03.15,,130.27,,130.27
04/06/2018 03.30,,128.48,,128.48
04/06/2018 03.45,,129.57,,129.57
04/06/2018 04.00,,126.83,,126.83
04/06/2018 04.15,,124.86,,124.86
04/06/2018 04.30,,128.7,,128.7
04/06/2018 04.45,,122.23,,122.23
04/06/2018 05.00,,121.36,,121.36
04/06/2018 05.15,,120.98,,120.98
04/06/2018 05.30,,121.64,,121.64
04/06/2018 05.45,,119.81,,119.81
04/06/2018 06.00,,118.67,,118.67
04/06/2018 06.15,,115.32,,115.32
04/06/2018 06.30,,112.28,,112.28
04/06/2018 06.45,,110.78,,110.78
04/06/2018 07.00,,108.65,,108.65
04/06/2018 07.15,,107.91,,107.91
04/06/2018 07.30,,106.85,,106.85
04/06/2018 07.45,,102.49,,102.49
04/06/2018 08.00,,100.67,,100.67
04/06/2018 08.15,,97.66,,97.66
04/06/2018 08.30,,95.93,,95.93
04/06/2018 08.45,,93.16,,93.16
04/06/2018 09.00,,92.49,,92.49
04/06/2018 09.15,91.01,,,91.01
04/06/2018 09.30,92.91,,,92.91
04/06/2018 09.45,92.98,,,92.98
04/06/2018 10.00,94.88,,,94.88
04/06/2018 10.15,89.82,,,89.82
04/06/2018 10.30,85.91,,,85.91
04/06/2018 10.45,78.74,,,78.74
04/06/2018 11.00,78.37,,,78.37
04/06/2018 11.15,77.25,,,77.25
04/06/2018 11.30,80.77,,,80.77
04/06/2018 11.45,80.19,,,80.19
04/06/2018 12.00,79.43,,,79.43
04/06/2018 12.15,78.83,,,78.83
04/06/2018 12.30,73.14,,,73.14
04/06/2018 12.45,77.2,,,77.2
04/06/2018 13.00,76.09,,,76.09
04/06/2018 13.15,72.35,,,72.35
04/06/2018 13.30,71.83,,,71.83
04/06/2018 13.45,70.38,,,70.38
04/06/2018 14.00,73.62,,,73.62
04/06/2018 14.15,73.67,,,73.67
04/06/2018 14.30,74.08,,,74.08
04/06/2018 14.45,77.4,,,77.4
04/06/2018 15.00,79.04,,,79.04
04/06/2018 15.15,81.11,,,81.11
04/06/2018 15.30,83.16,,,83.16
04/06/2018 15.45,86.51,,,86.51
04/06/2018 16.00,87.7,,,87.7
04/06/2018 16.15,84.87,,,84.87
04/06/2018 16.30,82.99,,,82.99
04/06/2018 16.45,87.83,,,87.83
04/06/2018 17.00,87.59,,,87.59
04/06/2018 17.15,96.03,,,96.03
04/06/2018 17.30,92.4,,,92.4
04/06/2018 17.45,88.08,,,88.08
04/06/2018 18.00,89.72,,,89.72
04/06/2018 18.15,90.8,,,90.8
04/06/2018 18.30,92.77,,,92.77
04/06/2018 18.45,92.11,,,92.11
04/06/2018 19.00,94.16,,,94.16
04/06/2018 19.15,94.56,,,94.56
04/06/2018 19.30,97.66,,,97.66
04/06/2018 19.45,97.67,,,97.67
04/06/2018 20.00,97.93,,,97.93
04/06/2018 20.15,97.45,,,97.45
04/06/2018 20.30,95.82,,,95.82
04/06/2018 20.45,99.09,,,99.09
04/06/2018 21.00,98.72,,,98.72
04/06/2018 21.15,98.99,,,98.99
04/06/2018 21.30,103.67,,,103.67
04/06/2018 21.45,106.33,,,106.33
04/06/2018 22.00,106.57,,,106.57
04/06/2018 22.15,,108.03,,108.03
04/06/2018 22.30,,108.94,,108.94
04/06/2018 22.45,,111.48,,111.48
04/06/2018 23.00,,112.43,,112.43
04/06/2018 23.15,,114.35,,114.35
04/06/2018 23.30,,116.9,,116.9
04/06/2018 23.45,,120.96,,120.96
04/06/2018 24.00,,122.99,,122.99
05/06/2018 00.15,,126.88,,126.88
05/06/2018 00.30,,129.01,,129.01
05/06/2018 00.45,,130.93,,130.93
05/06/2018 01.00,,131.89,,131.89
05/06/2018 01.15,,131.7,,131.7
05/06/2018 01.30,,132.51,,132.51
05/06/2018 01.45,,132.09,,132.09
05/06/2018 02.00,,132.89,,132.89
05/06/2018 02.15,,129.75,,129.75
05/06/2018 02.30,,130.65,,130.65
05/06/2018 02.45,,128.56,,128.56
05/06/2018 03.00,,125.9,,125.9
05/06/2018 03.15,,120.78,,120.78
05/06/2018 03.30,,121.14,,121.14
05/06/2018 03.45,,121.9,,121.9
05/06/2018 04.00,,116.99,,116.99
05/06/2018 04.15,,115.8,,115.8
05/06/2018 04.30,,115.19,,115.19
05/06/2018 04.45,,113.43,,113.43
05/06/2018 05.00,,114.11,,114.11
05/06/2018 05.15,,115.62,,115.62
05/06/2018 05.30,,114.73,,114.73
05/06/2018 05.45,,114.32,,114.32
05/06/2018 06.00,,113.4,,113.4
05/06/2018 06.15,,109.19,,109.19
05/06/2018 06.30,,108.19,,108.19
05/06/2018 06.45,,104.9,,104.9
05/06/2018 07.00,,101.24,,101.24
05/06/2018 07.15,,98.54,,98.54
05/06/2018 07.30,,99.38,,99.38
05/06/2018 07.45,,99.93,,99.93
05/06/2018 08.00,,96.38,,96.38
05/06/2018 08.15,,93.33,,93.33
