,RATE A,RATE B,RATE C,Total
03/09/2018 03.45,,1.6,,1.6
03/09/2018 04.00,,1.56,,1.56
03/09/2018 04.15,,1.65,,1.65
03/09/2018 04.30,,1.65,,1.65
03/09/2018 04.45,,1.67,,1.67
03/09/2018 05.00,,1.63,,1.63
03/09/2018 05.15,,1.55,,1.55
03/09/2018 05.30,,1.57,,1.57
03/09/2018 05.45,,1.53,,1.53
03/09/2018 06.00,,1.54,,1.54
03/09/2018 06.15,,1.56,,1.56
03/09/2018 06.30,,1.59,,1.59
03/09/2018 06.45,,1.64,,1.64
03/09/2018 07.00,,1.45,,1.45
03/09/2018 07.15,,1.33,,1.33
03/09/2018 07.30,,1.1,,1.1
03/09/2018 07.45,,1.24,,1.24
03/09/2018 08.00,,1.55,,1.55
03/09/2018 08.15,,1.51,,1.51
03/09/2018 08.30,,1.44,,1.44
03/09/2018 08.45,,1.31,,1.31
03/09/2018 09.00,,1.28,,1.28
03/09/2018 09.15,1.22,,,1.22
03/09/2018 09.30,0.97,,,0.97
03/09/2018 09.45,0.77,,,0.77
03/09/2018 10.00,0.84,,,0.84
03/09/2018 10.15,0.87,,,0.87
03/09/2018 10.30,0.99,,,0.99
03/09/2018 10.45,0.89,,,0.89
03/09/2018 11.00,0.86,,,0.86
03/09/2018 11.15,0.85,,,0.85
03/09/2018 11.30,1.08,,,1.08
03/09/2018 11.45,1.21,,,1.21
03/09/2018 12.00,1.44,,,1.44
03/09/2018 12.15,1.03,,,1.03
03/09/2018 12.30,1.19,,,1.19
03/09/2018 12.45,0.8,,,0.8
03/09/2018 13.00,0.6,,,0.6
03/09/2018 13.15,0.73,,,0.73
03/09/2018 13.30,1.02,,,1.02
03/09/2018 13.45,1.37,,,1.37
03/09/2018 14.00,1.39,,,1.39
03/09/2018 14.15,1.35,,,1.35
03/09/2018 14.30,1.65,,,1.65
03/09/2018 14.45,1.63,,,1.63
03/09/2018 15.00,1.68,,,1.68
03/09/2018 15.15,1.67,,,1.67
03/09/2018 15.30,1.85,,,1.85
03/09/2018 15.45,2.16,,,2.16
03/09/2018 16.00,1.87,,,1.87
