,RATE A,RATE B,RATE C,Total
05/10/2018 11.15,1.27,,,1.27
05/10/2018 11.30,1.24,,,1.24
05/10/2018 11.45,1.43,,,1.43
05/10/2018 12.00,1.24,,,1.24
05/10/2018 12.15,0.88,,,0.88
05/10/2018 12.30,0.95,,,0.95
05/10/2018 12.45,1.33,,,1.33
05/10/2018 13.00,1.26,,,1.26
05/10/2018 13.15,0.61,,,0.61
05/10/2018 13.30,0.78,,,0.78
05/10/2018 13.45,1.02,,,1.02
05/10/2018 14.00,0.41,,,0.41
05/10/2018 14.15,1.13,,,1.13
05/10/2018 14.30,0.61,,,0.61
05/10/2018 14.45,0.88,,,0.88
05/10/2018 15.00,1.72,,,1.72
05/10/2018 15.15,1.82,,,1.82
05/10/2018 15.30,2.06,,,2.06
05/10/2018 15.45,1.74,,,1.74
05/10/2018 16.00,2.6,,,2.6
05/10/2018 16.15,3.02,,,3.02
05/10/2018 16.30,2.78,,,2.78
05/10/2018 16.45,2.77,,,2.77
05/10/2018 17.00,2.86,,,2.86
05/10/2018 17.15,2.68,,,2.68
05/10/2018 17.30,2.51,,,2.51
05/10/2018 17.45,2.52,,,2.52
05/10/2018 18.00,2.72,,,2.72
05/10/2018 18.15,2.69,,,2.69
05/10/2018 18.30,2.5,,,2.5
05/10/2018 18.45,2.62,,,2.62
05/10/2018 19.00,2.74,,,2.74
05/10/2018 19.15,2.83,,,2.83
05/10/2018 19.30,2.48,,,2.48
05/10/2018 19.45,2.42,,,2.42
05/10/2018 20.00,2.64,,,2.64
05/10/2018 20.15,2.7,,,2.7
05/10/2018 20.30,2.67,,,2.67
05/10/2018 20.45,2.72,,,2.72
05/10/2018 21.00,2.41,,,2.41
05/10/2018 21.15,1.89,,,1.89
05/10/2018 21.30,1.73,,,1.73
05/10/2018 21.45,1.69,,,1.69
05/10/2018 22.00,1.75,,,1.75
05/10/2018 22.15,,1.77,,1.77
05/10/2018 22.30,,1.98,,1.98
05/10/2018 22.45,,2.03,,2.03
05/10/2018 23.00,,2.02,,2.02
05/10/2018 23.15,,1.99,,1.99
05/10/2018 23.30,,2.02,,2.02
05/10/2018 23.45,,2.03,,2.03
05/10/2018 24.00,,1.96,,1.96
06/10/2018 00.15,,,1.85,1.85
06/10/2018 00.30,,,1.69,1.69
06/10/2018 00.45,,,1.66,1.66
06/10/2018 01.00,,,1.69,1.69
06/10/2018 01.15,,,1.73,1.73
06/10/2018 01.30,,,1.73,1.73
06/10/2018 01.45,,,1.74,1.74
06/10/2018 02.00,,,1.66,1.66
06/10/2018 02.15,,,1.65,1.65
06/10/2018 02.30,,,1.67,1.67
06/10/2018 02.45,,,1.66,1.66
06/10/2018 03.00,,,1.67,1.67
06/10/2018 03.15,,,1.65,1.65
06/10/2018 03.30,,,1.61,1.61
06/10/2018 03.45,,,1.61,1.61
06/10/2018 04.00,,,1.62,1.62
06/10/2018 04.15,,,1.6,1.6
06/10/2018 04.30,,,1.63,1.63
06/10/2018 04.45,,,1.65,1.65
06/10/2018 05.00,,,1.63,1.63
06/10/2018 05.15,,,1.58,1.58
06/10/2018 05.30,,,1.59,1.59
06/10/2018 05.45,,,1.6,1.6
06/10/2018 06.00,,,1.52,1.52
06/10/2018 06.15,,,1.47,1.47
06/10/2018 06.30,,,1.42,1.42
06/10/2018 06.45,,,1.36,1.36
06/10/2018 07.00,,,1.35,1.35
06/10/2018 07.15,,,1.52,1.52
06/10/2018 07.30,,,1.48,1.48
06/10/2018 07.45,,,1.37,1.37
06/10/2018 08.00,,,1.55,1.55
06/10/2018 08.15,,,1.3,1.3
06/10/2018 08.30,,,1.26,1.26
06/10/2018 08.45,,,1.01,1.01
06/10/2018 09.00,,,0.88,0.88
06/10/2018 09.15,,,1.05,1.05
06/10/2018 09.30,,,0.8,0.8
06/10/2018 09.45,,,0.93,0.93
06/10/2018 10.00,,,1.13,1.13
06/10/2018 10.15,,,1.15,1.15
06/10/2018 10.30,,,0.47,0.47
06/10/2018 10.45,,,1.05,1.05
