,RATE A,RATE B,RATE C,Total
03/07/2018 16.45,4.46,,,4.46
03/07/2018 17.00,4.38,,,4.38
03/07/2018 17.15,4.47,,,4.47
03/07/2018 17.30,4.28,,,4.28
03/07/2018 17.45,4,,,4
03/07/2018 18.00,4.11,,,4.11
03/07/2018 18.15,3.92,,,3.92
03/07/2018 18.30,4.21,,,4.21
03/07/2018 18.45,4.56,,,4.56
03/07/2018 19.00,4.42,,,4.42
03/07/2018 19.15,3.99,,,3.99
03/07/2018 19.30,3.9,,,3.9
03/07/2018 19.45,3.84,,,3.84
03/07/2018 20.00,3.89,,,3.89
03/07/2018 20.15,3.79,,,3.79
03/07/2018 20.30,3.63,,,3.63
03/07/2018 20.45,3.33,,,3.33
03/07/2018 21.00,3,,,3
03/07/2018 21.15,2.05,,,2.05
03/07/2018 21.30,1.88,,,1.88
03/07/2018 21.45,1.9,,,1.9
03/07/2018 22.00,1.88,,,1.88
03/07/2018 22.15,,1.88,,1.88
03/07/2018 22.30,,1.86,,1.86
03/07/2018 22.45,,1.85,,1.85
03/07/2018 23.00,,1.76,,1.76
03/07/2018 23.15,,1.73,,1.73
03/07/2018 23.30,,1.71,,1.71
03/07/2018 23.45,,1.73,,1.73
03/07/2018 24.00,,1.75,,1.75
04/07/2018 00.15,,1.59,,1.59
04/07/2018 00.30,,1.54,,1.54
04/07/2018 00.45,,1.56,,1.56
04/07/2018 01.00,,1.54,,1.54
04/07/2018 01.15,,1.56,,1.56
04/07/2018 01.30,,1.59,,1.59
04/07/2018 01.45,,1.58,,1.58
04/07/2018 02.00,,1.55,,1.55
04/07/2018 02.15,,1.57,,1.57
04/07/2018 02.30,,1.6,,1.6
04/07/2018 02.45,,1.58,,1.58
04/07/2018 03.00,,1.57,,1.57
04/07/2018 03.15,,1.56,,1.56
04/07/2018 03.30,,1.57,,1.57
04/07/2018 03.45,,1.54,,1.54
04/07/2018 04.00,,1.57,,1.57
04/07/2018 04.15,,1.57,,1.57
04/07/2018 04.30,,1.56,,1.56
04/07/2018 04.45,,1.6,,1.6
04/07/2018 05.00,,1.6,,1.6
04/07/2018 05.15,,1.53,,1.53
04/07/2018 05.30,,1.52,,1.52
04/07/2018 05.45,,1.39,,1.39
04/07/2018 06.00,,1.34,,1.34
04/07/2018 06.15,,1.38,,1.38
04/07/2018 06.30,,1.41,,1.41
04/07/2018 06.45,,1.37,,1.37
04/07/2018 07.00,,1.38,,1.38
04/07/2018 07.15,,1.42,,1.42
04/07/2018 07.30,,1.4,,1.4
04/07/2018 07.45,,1.53,,1.53
04/07/2018 08.00,,1.84,,1.84
04/07/2018 08.15,,1.83,,1.83
04/07/2018 08.30,,1.8,,1.8
04/07/2018 08.45,,1.87,,1.87
04/07/2018 09.00,,1.88,,1.88
04/07/2018 09.15,1.89,,,1.89
04/07/2018 09.30,1.93,,,1.93
04/07/2018 09.45,1.91,,,1.91
04/07/2018 10.00,1.88,,,1.88
04/07/2018 10.15,2.16,,,2.16
04/07/2018 10.30,2.13,,,2.13
04/07/2018 10.45,2.1,,,2.1
04/07/2018 11.00,2.3,,,2.3
04/07/2018 11.15,2.2,,,2.2
04/07/2018 11.30,2.33,,,2.33
04/07/2018 11.45,2.29,,,2.29
04/07/2018 12.00,2.5,,,2.5
04/07/2018 12.15,2.32,,,2.32
04/07/2018 12.30,2.74,,,2.74
04/07/2018 12.45,2.59,,,2.59
04/07/2018 13.00,2.8,,,2.8
04/07/2018 13.15,2.63,,,2.63
04/07/2018 13.30,2.46,,,2.46
04/07/2018 13.45,2.66,,,2.66
04/07/2018 14.00,2.64,,,2.64
04/07/2018 14.15,2.69,,,2.69
04/07/2018 14.30,2.76,,,2.76
04/07/2018 14.45,2.91,,,2.91
04/07/2018 15.00,3.43,,,3.43
04/07/2018 15.15,3.96,,,3.96
04/07/2018 15.30,3.66,,,3.66
04/07/2018 15.45,3.48,,,3.48
04/07/2018 16.00,3.87,,,3.87
04/07/2018 16.15,3.84,,,3.84
04/07/2018 16.30,3.87,,,3.87
04/07/2018 16.45,3.9,,,3.9
04/07/2018 17.00,3.93,,,3.93
04/07/2018 17.15,3.87,,,3.87
04/07/2018 17.30,3.68,,,3.68
04/07/2018 17.45,3.61,,,3.61
04/07/2018 18.00,4.05,,,4.05
04/07/2018 18.15,3.85,,,3.85
04/07/2018 18.30,3.79,,,3.79
04/07/2018 18.45,3.96,,,3.96
04/07/2018 19.00,4.07,,,4.07
04/07/2018 19.15,3.98,,,3.98
04/07/2018 19.30,3.89,,,3.89
04/07/2018 19.45,3.85,,,3.85
04/07/2018 20.00,3.3,,,3.3
04/07/2018 20.15,3.15,,,3.15
04/07/2018 20.30,3.01,,,3.01
04/07/2018 20.45,2.96,,,2.96
04/07/2018 21.00,2.86,,,2.86
04/07/2018 21.15,2.08,,,2.08
04/07/2018 21.30,1.83,,,1.83
04/07/2018 21.45,1.74,,,1.74
04/07/2018 22.00,1.76,,,1.76
04/07/2018 22.15,,1.78,,1.78
04/07/2018 22.30,,1.78,,1.78
04/07/2018 22.45,,1.8,,1.8
04/07/2018 23.00,,1.78,,1.78
04/07/2018 23.15,,1.78,,1.78
04/07/2018 23.30,,1.8,,1.8
04/07/2018 23.45,,1.76,,1.76
04/07/2018 24.00,,1.74,,1.74
05/07/2018 00.15,,1.64,,1.64
05/07/2018 00.30,,1.6,,1.6
05/07/2018 00.45,,1.62,,1.62
05/07/2018 01.00,,1.64,,1.64
05/07/2018 01.15,,1.65,,1.65
05/07/2018 01.30,,1.59,,1.59
05/07/2018 01.45,,1.62,,1.62
05/07/2018 02.00,,1.66,,1.66
05/07/2018 02.15,,1.65,,1.65
05/07/2018 02.30,,1.63,,1.63
05/07/2018 02.45,,1.61,,1.61
05/07/2018 03.00,,1.6,,1.6
05/07/2018 03.15,,1.57,,1.57
05/07/2018 03.30,,1.62,,1.62
05/07/2018 03.45,,1.59,,1.59
05/07/2018 04.00,,1.54,,1.54
05/07/2018 04.15,,1.61,,1.61
05/07/2018 04.30,,1.63,,1.63
05/07/2018 04.45,,1.66,,1.66
05/07/2018 05.00,,1.69,,1.69
05/07/2018 05.15,,1.6,,1.6
05/07/2018 05.30,,1.6,,1.6
05/07/2018 05.45,,1.48,,1.48
05/07/2018 06.00,,1.44,,1.44
05/07/2018 06.15,,1.45,,1.45
05/07/2018 06.30,,1.45,,1.45
05/07/2018 06.45,,1.43,,1.43
05/07/2018 07.00,,1.46,,1.46
05/07/2018 07.15,,1.42,,1.42
05/07/2018 07.30,,1.41,,1.41
05/07/2018 07.45,,1.43,,1.43
05/07/2018 08.00,,1.51,,1.51
05/07/2018 08.15,,1.82,,1.82
05/07/2018 08.30,,1.85,,1.85
05/07/2018 08.45,,1.9,,1.9
05/07/2018 09.00,,1.94,,1.94
05/07/2018 09.15,1.91,,,1.91
05/07/2018 09.30,2.23,,,2.23
05/07/2018 09.45,2.22,,,2.22
05/07/2018 10.00,2.3,,,2.3
05/07/2018 10.15,2.7,,,2.7
05/07/2018 10.30,3.8,,,3.8
05/07/2018 10.45,3.39,,,3.39
05/07/2018 11.00,2.05,,,2.05
05/07/2018 11.15,1.95,,,1.95
05/07/2018 11.30,2.13,,,2.13
05/07/2018 11.45,2.28,,,2.28
05/07/2018 12.00,2.35,,,2.35
05/07/2018 12.15,2.13,,,2.13
05/07/2018 12.30,2.12,,,2.12
05/07/2018 12.45,2.17,,,2.17
05/07/2018 13.00,2.24,,,2.24
05/07/2018 13.15,2.36,,,2.36
05/07/2018 13.30,2.64,,,2.64
05/07/2018 13.45,2.65,,,2.65
05/07/2018 14.00,2.69,,,2.69
05/07/2018 14.15,2.72,,,2.72
05/07/2018 14.30,2.88,,,2.88
05/07/2018 14.45,2.93,,,2.93
05/07/2018 15.00,2.91,,,2.91
05/07/2018 15.15,2.99,,,2.99
05/07/2018 15.30,2.89,,,2.89
05/07/2018 15.45,2.84,,,2.84
05/07/2018 16.00,2.88,,,2.88
05/07/2018 16.15,2.86,,,2.86
05/07/2018 16.30,2.83,,,2.83
05/07/2018 16.45,3.44,,,3.44
05/07/2018 17.00,3.42,,,3.42
05/07/2018 17.15,3.4,,,3.4
05/07/2018 17.30,3.09,,,3.09
05/07/2018 17.45,2.97,,,2.97
05/07/2018 18.00,2.96,,,2.96
05/07/2018 18.15,2.95,,,2.95
05/07/2018 18.30,3.05,,,3.05
05/07/2018 18.45,3.5,,,3.5
05/07/2018 19.00,3.53,,,3.53
05/07/2018 19.15,3.47,,,3.47
05/07/2018 19.30,3.43,,,3.43
05/07/2018 19.45,3.51,,,3.51
05/07/2018 20.00,3.52,,,3.52
05/07/2018 20.15,3.33,,,3.33
05/07/2018 20.30,3.29,,,3.29
05/07/2018 20.45,3.27,,,3.27
05/07/2018 21.00,2.85,,,2.85
05/07/2018 21.15,2.27,,,2.27
05/07/2018 21.30,2.32,,,2.32
05/07/2018 21.45,2.3,,,2.3
05/07/2018 22.00,2.28,,,2.28
05/07/2018 22.15,,2.14,,2.14
05/07/2018 22.30,,1.79,,1.79
05/07/2018 22.45,,1.77,,1.77
05/07/2018 23.00,,1.81,,1.81
05/07/2018 23.15,,1.79,,1.79
05/07/2018 23.30,,1.8,,1.8
05/07/2018 23.45,,1.78,,1.78
05/07/2018 24.00,,1.84,,1.84
06/07/2018 00.15,,1.65,,1.65
06/07/2018 00.30,,1.58,,1.58
06/07/2018 00.45,,1.6,,1.6
06/07/2018 01.00,,1.61,,1.61
06/07/2018 01.15,,1.62,,1.62
06/07/2018 01.30,,1.67,,1.67
06/07/2018 01.45,,1.64,,1.64
06/07/2018 02.00,,1.65,,1.65
06/07/2018 02.15,,1.62,,1.62
06/07/2018 02.30,,1.64,,1.64
06/07/2018 02.45,,1.66,,1.66
06/07/2018 03.00,,1.66,,1.66
06/07/2018 03.15,,1.62,,1.62
06/07/2018 03.30,,1.62,,1.62
06/07/2018 03.45,,1.61,,1.61
06/07/2018 04.00,,1.61,,1.61
06/07/2018 04.15,,1.6,,1.6
06/07/2018 04.30,,1.62,,1.62
06/07/2018 04.45,,1.65,,1.65
06/07/2018 05.00,,1.62,,1.62
06/07/2018 05.15,,1.56,,1.56
06/07/2018 05.30,,1.56,,1.56
06/07/2018 05.45,,1.44,,1.44
06/07/2018 06.00,,1.38,,1.38
06/07/2018 06.15,,1.58,,1.58
06/07/2018 06.30,,2.12,,2.12
06/07/2018 06.45,,2.31,,2.31
06/07/2018 07.00,,2.26,,2.26
06/07/2018 07.15,,14.97,,14.97
06/07/2018 07.30,,27.09,,27.09
06/07/2018 07.45,,27.21,,27.21
06/07/2018 08.00,,26.08,,26.08
06/07/2018 08.15,,26.29,,26.29
06/07/2018 08.30,,26.74,,26.74
06/07/2018 08.45,,26.51,,26.51
06/07/2018 09.00,,26.42,,26.42
06/07/2018 09.15,26.34,,,26.34
06/07/2018 09.30,26.18,,,26.18
06/07/2018 09.45,26.23,,,26.23
06/07/2018 10.00,26.8,,,26.8
06/07/2018 10.15,26.37,,,26.37
06/07/2018 10.30,26.64,,,26.64
06/07/2018 10.45,26.51,,,26.51
06/07/2018 11.00,27.04,,,27.04
06/07/2018 11.15,26.96,,,26.96
06/07/2018 11.30,26.92,,,26.92
06/07/2018 11.45,27.09,,,27.09
06/07/2018 12.00,27.48,,,27.48
06/07/2018 12.15,27.88,,,27.88
06/07/2018 12.30,28.49,,,28.49
06/07/2018 12.45,28.48,,,28.48
06/07/2018 13.00,21.38,,,21.38
06/07/2018 13.15,2.84,,,2.84
06/07/2018 13.30,2.69,,,2.69
06/07/2018 13.45,2.91,,,2.91
06/07/2018 14.00,2.97,,,2.97
06/07/2018 14.15,3.07,,,3.07
06/07/2018 14.30,3.02,,,3.02
06/07/2018 14.45,3.04,,,3.04
06/07/2018 15.00,2.97,,,2.97
06/07/2018 15.15,2.91,,,2.91
06/07/2018 15.30,2.9,,,2.9
06/07/2018 15.45,2.77,,,2.77
06/07/2018 16.00,3.06,,,3.06
06/07/2018 16.15,2.95,,,2.95
06/07/2018 16.30,2.85,,,2.85
06/07/2018 16.45,2.89,,,2.89
06/07/2018 17.00,2.75,,,2.75
06/07/2018 17.15,2.85,,,2.85
06/07/2018 17.30,2.58,,,2.58
06/07/2018 17.45,2.72,,,2.72
06/07/2018 18.00,2.58,,,2.58
06/07/2018 18.15,2.4,,,2.4
06/07/2018 18.30,2.67,,,2.67
06/07/2018 18.45,3.07,,,3.07
