,RATE A,RATE B,RATE C,Total
04/06/2018 09.15,2.32,,,2.32
04/06/2018 09.30,2.38,,,2.38
04/06/2018 09.45,2.53,,,2.53
04/06/2018 10.00,3.09,,,3.09
04/06/2018 10.15,3.2,,,3.2
04/06/2018 10.30,3.22,,,3.22
04/06/2018 10.45,3.2,,,3.2
04/06/2018 11.00,3.08,,,3.08
04/06/2018 11.15,3.05,,,3.05
04/06/2018 11.30,2.91,,,2.91
04/06/2018 11.45,2.98,,,2.98
04/06/2018 12.00,3.02,,,3.02
04/06/2018 12.15,2.77,,,2.77
04/06/2018 12.30,2.63,,,2.63
04/06/2018 12.45,2.7,,,2.7
04/06/2018 13.00,2.77,,,2.77
04/06/2018 13.15,2.89,,,2.89
04/06/2018 13.30,2.71,,,2.71
04/06/2018 13.45,2.68,,,2.68
04/06/2018 14.00,2.77,,,2.77
04/06/2018 14.15,2.99,,,2.99
04/06/2018 14.30,3.09,,,3.09
04/06/2018 14.45,2.96,,,2.96
04/06/2018 15.00,2.99,,,2.99
04/06/2018 15.15,3.02,,,3.02
04/06/2018 15.30,3.01,,,3.01
04/06/2018 15.45,2.91,,,2.91
04/06/2018 16.00,2.92,,,2.92
04/06/2018 16.15,2.99,,,2.99
04/06/2018 16.30,3.38,,,3.38
04/06/2018 16.45,3.63,,,3.63
04/06/2018 17.00,3.54,,,3.54
04/06/2018 17.15,3.5,,,3.5
04/06/2018 17.30,3.21,,,3.21
04/06/2018 17.45,3.26,,,3.26
04/06/2018 18.00,3.27,,,3.27
04/06/2018 18.15,3.21,,,3.21
04/06/2018 18.30,3.3,,,3.3
04/06/2018 18.45,3.38,,,3.38
04/06/2018 19.00,3.33,,,3.33
04/06/2018 19.15,3.35,,,3.35
04/06/2018 19.30,3.35,,,3.35
04/06/2018 19.45,3.35,,,3.35
04/06/2018 20.00,3.29,,,3.29
04/06/2018 20.15,3.29,,,3.29
04/06/2018 20.30,3.22,,,3.22
04/06/2018 20.45,3.22,,,3.22
04/06/2018 21.00,3.03,,,3.03
04/06/2018 21.15,1.97,,,1.97
04/06/2018 21.30,1.81,,,1.81
04/06/2018 21.45,1.83,,,1.83
04/06/2018 22.00,1.81,,,1.81
04/06/2018 22.15,,1.81,,1.81
04/06/2018 22.30,,1.84,,1.84
04/06/2018 22.45,,1.86,,1.86
04/06/2018 23.00,,1.83,,1.83
04/06/2018 23.15,,1.8,,1.8
04/06/2018 23.30,,1.77,,1.77
04/06/2018 23.45,,1.77,,1.77
04/06/2018 24.00,,1.78,,1.78
05/06/2018 00.15,,1.76,,1.76
05/06/2018 00.30,,1.66,,1.66
05/06/2018 00.45,,1.66,,1.66
05/06/2018 01.00,,1.65,,1.65
05/06/2018 01.15,,1.69,,1.69
05/06/2018 01.30,,1.71,,1.71
05/06/2018 01.45,,1.71,,1.71
05/06/2018 02.00,,1.69,,1.69
05/06/2018 02.15,,1.68,,1.68
05/06/2018 02.30,,1.67,,1.67
05/06/2018 02.45,,1.66,,1.66
05/06/2018 03.00,,1.73,,1.73
05/06/2018 03.15,,1.69,,1.69
05/06/2018 03.30,,1.65,,1.65
05/06/2018 03.45,,1.63,,1.63
05/06/2018 04.00,,1.65,,1.65
05/06/2018 04.15,,1.68,,1.68
05/06/2018 04.30,,1.72,,1.72
05/06/2018 04.45,,1.7,,1.7
05/06/2018 05.00,,1.69,,1.69
05/06/2018 05.15,,1.64,,1.64
05/06/2018 05.30,,1.62,,1.62
05/06/2018 05.45,,1.6,,1.6
05/06/2018 06.00,,1.51,,1.51
05/06/2018 06.15,,1.5,,1.5
05/06/2018 06.30,,1.46,,1.46
05/06/2018 06.45,,1.46,,1.46
05/06/2018 07.00,,1.47,,1.47
05/06/2018 07.15,,1.51,,1.51
05/06/2018 07.30,,1.54,,1.54
05/06/2018 07.45,,1.69,,1.69
05/06/2018 08.00,,1.85,,1.85
05/06/2018 08.15,,2.02,,2.02
05/06/2018 08.30,,1.96,,1.96
05/06/2018 08.45,,2.01,,2.01
05/06/2018 09.00,,2.01,,2.01
05/06/2018 09.15,1.96,,,1.96
05/06/2018 09.30,1.83,,,1.83
