,RATE A,RATE B,RATE C,Total
 03/04/2018 10.00,4.79,,,4.79
 03/04/2018 10.15,4.91,,,4.91
 03/04/2018 10.30,5.27,,,5.27
 03/04/2018 10.45,5.37,,,5.37
 03/04/2018 11.00,5.26,,,5.26
 03/04/2018 11.15,5.35,,,5.35
 03/04/2018 11.30,5.31,,,5.31
 03/04/2018 11.45,5.01,,,5.01
 03/04/2018 12.00,5.14,,,5.14
 03/04/2018 12.15,5.12,,,5.12
 03/04/2018 12.30,5.53,,,5.53
 03/04/2018 12.45,5.56,,,5.56
 03/04/2018 13.00,5.59,,,5.59
 03/04/2018 13.15,5.78,,,5.78
 03/04/2018 13.30,5.99,,,5.99
 03/04/2018 13.45,6.32,,,6.32
 03/04/2018 14.00,7.04,,,7.04
 03/04/2018 14.15,7.39,,,7.39
 03/04/2018 14.30,7.53,,,7.53
 03/04/2018 14.45,7.04,,,7.04
 03/04/2018 15.00,7.81,,,7.81
 03/04/2018 15.15,8.17,,,8.17
 03/04/2018 15.30,8.41,,,8.41
 03/04/2018 15.45,8.12,,,8.12
 03/04/2018 16.00,8.15,,,8.15
 03/04/2018 16.15,8.27,,,8.27
 03/04/2018 16.30,8.05,,,8.05
 03/04/2018 16.45,7.01,,,7.01
 03/04/2018 17.00,6.09,,,6.09
 03/04/2018 17.15,6.02,,,6.02
 03/04/2018 17.30,6,,,6
 03/04/2018 17.45,6.03,,,6.03
 03/04/2018 18.00,5.22,,,5.22
 03/04/2018 18.15,5.43,,,5.43
 03/04/2018 18.30,5.74,,,5.74
 03/04/2018 18.45,6.05,,,6.05
 03/04/2018 19.00,6.09,,,6.09
 03/04/2018 19.15,6.38,,,6.38
 03/04/2018 19.30,5.97,,,5.97
 03/04/2018 19.45,5.91,,,5.91
 03/04/2018 20.00,6.05,,,6.05
 03/04/2018 20.15,5.86,,,5.86
 03/04/2018 20.30,5.36,,,5.36
 03/04/2018 20.45,4.66,,,4.66
 03/04/2018 21.00,3.55,,,3.55
 03/04/2018 21.15,3.32,,,3.32
 03/04/2018 21.30,3.15,,,3.15
 03/04/2018 21.45,2.83,,,2.83
 03/04/2018 22.00,2.6,,,2.6
 03/04/2018 22.15,,2.34,,2.34
 03/04/2018 22.30,,1.88,,1.88
 03/04/2018 22.45,,1.75,,1.75
 03/04/2018 23.00,,1.72,,1.72
 03/04/2018 23.15,,1.72,,1.72
 03/04/2018 23.30,,1.72,,1.72
 03/04/2018 23.45,,1.74,,1.74
 03/04/2018 24.00,,1.73,,1.73
 04/04/2018 00.15,,1.61,,1.61
 04/04/2018 00.30,,1.6,,1.6
 04/04/2018 00.45,,1.6,,1.6
 04/04/2018 01.00,,1.6,,1.6
 04/04/2018 01.15,,1.61,,1.61
 04/04/2018 01.30,,1.64,,1.64
 04/04/2018 01.45,,1.64,,1.64
 04/04/2018 02.00,,1.59,,1.59
 04/04/2018 02.15,,1.56,,1.56
 04/04/2018 02.30,,1.56,,1.56
 04/04/2018 02.45,,1.62,,1.62
 04/04/2018 03.00,,1.61,,1.61
 04/04/2018 03.15,,1.59,,1.59
 04/04/2018 03.30,,1.54,,1.54
 04/04/2018 03.45,,1.55,,1.55
 04/04/2018 04.00,,1.55,,1.55
 04/04/2018 04.15,,1.57,,1.57
 04/04/2018 04.30,,1.6,,1.6
 04/04/2018 04.45,,1.62,,1.62
 04/04/2018 05.00,,1.59,,1.59
 04/04/2018 05.15,,1.56,,1.56
 04/04/2018 05.30,,1.54,,1.54
 04/04/2018 05.45,,1.53,,1.53
 04/04/2018 06.00,,1.49,,1.49
 04/04/2018 06.15,,1.41,,1.41
 04/04/2018 06.30,,1.52,,1.52
 04/04/2018 06.45,,1.53,,1.53
 04/04/2018 07.00,,1.52,,1.52
 04/04/2018 07.15,,1.57,,1.57
 04/04/2018 07.30,,1.58,,1.58
 04/04/2018 07.45,,1.76,,1.76
 04/04/2018 08.00,,2.1,,2.1
 04/04/2018 08.15,,2.39,,2.39
 04/04/2018 08.30,,3.53,,3.53
 04/04/2018 08.45,,3.66,,3.66
 04/04/2018 09.00,,3.56,,3.56
 04/04/2018 09.15,3.7,,,3.7
 04/04/2018 09.30,3.81,,,3.81
 04/04/2018 09.45,3.81,,,3.81
 04/04/2018 10.00,3.91,,,3.91
 04/04/2018 10.15,3.73,,,3.73
 04/04/2018 10.30,3.9,,,3.9
 04/04/2018 10.45,4.16,,,4.16
 04/04/2018 11.00,4.5,,,4.5
 04/04/2018 11.15,4.53,,,4.53
 04/04/2018 11.30,4.54,,,4.54
 04/04/2018 11.45,4.14,,,4.14
 04/04/2018 12.00,4.21,,,4.21
 04/04/2018 12.15,5.46,,,5.46
