,RATE A,RATE B,RATE C,Total
06/11/2018 16.30,17.63,,,17.63
06/11/2018 16.45,7.36,,,7.36
06/11/2018 17.00,6.41,,,6.41
06/11/2018 17.15,6.11,,,6.11
06/11/2018 17.30,6.47,,,6.47
06/11/2018 17.45,6.63,,,6.63
06/11/2018 18.00,6.8,,,6.8
06/11/2018 18.15,7.19,,,7.19
06/11/2018 18.30,7.31,,,7.31
06/11/2018 18.45,7.02,,,7.02
06/11/2018 19.00,6.82,,,6.82
06/11/2018 19.15,6.62,,,6.62
06/11/2018 19.30,6.61,,,6.61
06/11/2018 19.45,6.56,,,6.56
06/11/2018 20.00,6.59,,,6.59
06/11/2018 20.15,6.72,,,6.72
06/11/2018 20.30,6.81,,,6.81
06/11/2018 20.45,6.35,,,6.35
06/11/2018 21.00,6.22,,,6.22
06/11/2018 21.15,5.3,,,5.3
06/11/2018 21.30,5.13,,,5.13
06/11/2018 21.45,5.2,,,5.2
06/11/2018 22.00,5.13,,,5.13
06/11/2018 22.15,,5.2,,5.2
06/11/2018 22.30,,5.2,,5.2
06/11/2018 22.45,,4.88,,4.88
06/11/2018 23.00,,4.76,,4.76
06/11/2018 23.15,,4.42,,4.42
06/11/2018 23.30,,4.51,,4.51
06/11/2018 23.45,,4.8,,4.8
06/11/2018 24.00,,4.78,,4.78
07/11/2018 00.15,,4.92,,4.92
07/11/2018 00.30,,4.81,,4.81
07/11/2018 00.45,,4.27,,4.27
07/11/2018 01.00,,4.35,,4.35
07/11/2018 01.15,,4.12,,4.12
07/11/2018 01.30,,4.17,,4.17
07/11/2018 01.45,,4.46,,4.46
07/11/2018 02.00,,4.53,,4.53
07/11/2018 02.15,,4.67,,4.67
07/11/2018 02.30,,4.65,,4.65
07/11/2018 02.45,,4.37,,4.37
07/11/2018 03.00,,4.31,,4.31
07/11/2018 03.15,,4.08,,4.08
07/11/2018 03.30,,4.01,,4.01
07/11/2018 03.45,,4.38,,4.38
07/11/2018 04.00,,4.38,,4.38
07/11/2018 04.15,,4.61,,4.61
07/11/2018 04.30,,4.66,,4.66
07/11/2018 04.45,,4.23,,4.23
07/11/2018 05.00,,4.13,,4.13
07/11/2018 05.15,,3.81,,3.81
07/11/2018 05.30,,3.78,,3.78
07/11/2018 05.45,,3.99,,3.99
07/11/2018 06.00,,3.94,,3.94
