,RATE A,RATE B,RATE C,Total
 03/12/2018 20.15,161.49,,,161.49
 03/12/2018 20.30,161.76,,,161.76
 03/12/2018 20.45,160.84,,,160.84
 03/12/2018 21.00,163.62,,,163.62
 03/12/2018 21.15,171.34,,,171.34
 03/12/2018 21.30,178.91,,,178.91
 03/12/2018 21.45,189.55,,,189.55
 03/12/2018 22.00,196.39,,,196.39
 03/12/2018 22.15,,200.34,,200.34
 03/12/2018 22.30,,210.13,,210.13
 03/12/2018 22.45,,216.5,,216.5
 03/12/2018 23.00,,222.37,,222.37
 03/12/2018 23.15,,232.07,,232.07
 03/12/2018 23.30,,234.63,,234.63
 03/12/2018 23.45,,245.56,,245.56
 03/12/2018 24.00,,250.85,,250.85
 04/12/2018 00.15,,249.65,,249.65
 04/12/2018 00.30,,255.16,,255.16
 04/12/2018 00.45,,260.73,,260.73
 04/12/2018 01.00,,261.23,,261.23
 04/12/2018 01.15,,257.63,,257.63
 04/12/2018 01.30,,255.68,,255.68
 04/12/2018 01.45,,254.34,,254.34
 04/12/2018 02.00,,255.11,,255.11
 04/12/2018 02.15,,255.21,,255.21
 04/12/2018 02.30,,253.27,,253.27
 04/12/2018 02.45,,249.42,,249.42
 04/12/2018 03.00,,252.76,,252.76
 04/12/2018 03.15,,245.47,,245.47
 04/12/2018 03.30,,243.5,,243.5
 04/12/2018 03.45,,241.26,,241.26
 04/12/2018 04.00,,238.9,,238.9
 04/12/2018 04.15,,236.31,,236.31
 04/12/2018 04.30,,232.94,,232.94
 04/12/2018 04.45,,229.18,,229.18
 04/12/2018 05.00,,226.29,,226.29
 04/12/2018 05.15,,222.5,,222.5
 04/12/2018 05.30,,220.6,,220.6
 04/12/2018 05.45,,221.5,,221.5
 04/12/2018 06.00,,215.86,,215.86
 04/12/2018 06.15,,211.18,,211.18
 04/12/2018 06.30,,199,,199
 04/12/2018 06.45,,186.42,,186.42
 04/12/2018 07.00,,181.88,,181.88
 04/12/2018 07.15,,169.54,,169.54
 04/12/2018 07.30,,172.23,,172.23
 04/12/2018 07.45,,166.7,,166.7
 04/12/2018 08.00,,158.64,,158.64
 04/12/2018 08.15,,137.49,,137.49
 04/12/2018 08.30,,120.38,,120.38
 04/12/2018 08.45,,103.53,,103.53
 04/12/2018 09.00,,94.03,,94.03
 04/12/2018 09.15,89.45,,,89.45
 04/12/2018 09.30,88.2,,,88.2
 04/12/2018 09.45,87.48,,,87.48
 04/12/2018 10.00,76.93,,,76.93
 04/12/2018 10.15,75.48,,,75.48
 04/12/2018 10.30,71.98,,,71.98
 04/12/2018 10.45,70.62,,,70.62
 04/12/2018 11.00,72.98,,,72.98
 04/12/2018 11.15,75.45,,,75.45
 04/12/2018 11.30,73.67,,,73.67
 04/12/2018 11.45,73.82,,,73.82
 04/12/2018 12.00,70.27,,,70.27
 04/12/2018 12.15,75.75,,,75.75
 04/12/2018 12.30,64.82,,,64.82
 04/12/2018 12.45,65.64,,,65.64
 04/12/2018 13.00,76.08,,,76.08
 04/12/2018 13.15,66.03,,,66.03
 04/12/2018 13.30,63.43,,,63.43
 04/12/2018 13.45,67.5,,,67.5
 04/12/2018 14.00,71.19,,,71.19
 04/12/2018 14.15,76.12,,,76.12
 04/12/2018 14.30,80.93,,,80.93
 04/12/2018 14.45,84.82,,,84.82
 04/12/2018 15.00,85.99,,,85.99
 04/12/2018 15.15,90.48,,,90.48
 04/12/2018 15.30,90.56,,,90.56
 04/12/2018 15.45,95.86,,,95.86
 04/12/2018 16.00,98.07,,,98.07
 04/12/2018 16.15,99.95,,,99.95
 04/12/2018 16.30,105.15,,,105.15
 04/12/2018 16.45,109.03,,,109.03
 04/12/2018 17.00,112.35,,,112.35
 04/12/2018 17.15,113.77,,,113.77
 04/12/2018 17.30,110.09,,,110.09
 04/12/2018 17.45,112.93,,,112.93
 04/12/2018 18.00,120.65,,,120.65
 04/12/2018 18.15,131.38,,,131.38
 04/12/2018 18.30,136.33,,,136.33
