,RATE A,RATE B,RATE C,Total
04/04/2018 05.30,,504.31,,504.31
04/04/2018 05.45,,515.76,,515.76
04/04/2018 06.00,,528.21,,528.21
04/04/2018 06.15,,553.11,,553.11
04/04/2018 06.30,,578.43,,578.43
04/04/2018 06.45,,600.9,,600.9
04/04/2018 07.00,,650.1,,650.1
04/04/2018 07.15,,696.5,,696.5
04/04/2018 07.30,,762.13,,762.13
04/04/2018 07.45,,852.99,,852.99
04/04/2018 08.00,,938.29,,938.29
04/04/2018 08.15,,1011.97,,1011.97
04/04/2018 08.30,,1079.48,,1079.48
04/04/2018 08.45,,1115.49,,1115.49
04/04/2018 09.00,,1149.02,,1149.02
04/04/2018 09.15,1173.07,,,1173.07
04/04/2018 09.30,1169.6,,,1169.6
04/04/2018 09.45,1203.76,,,1203.76
04/04/2018 10.00,1209.13,,,1209.13
04/04/2018 10.15,1241.81,,,1241.81
04/04/2018 10.30,1262.9,,,1262.9
04/04/2018 10.45,1238.26,,,1238.26
04/04/2018 11.00,1235.7,,,1235.7
04/04/2018 11.15,1204.13,,,1204.13
04/04/2018 11.30,1259.32,,,1259.32
04/04/2018 11.45,1251.29,,,1251.29
04/04/2018 12.00,1192.75,,,1192.75
04/04/2018 12.15,1131.35,,,1131.35
04/04/2018 12.30,1135.27,,,1135.27
04/04/2018 12.45,1149.49,,,1149.49
04/04/2018 13.00,1040.24,,,1040.24
04/04/2018 13.15,1100.38,,,1100.38
04/04/2018 13.30,1123.52,,,1123.52
04/04/2018 13.45,1159.62,,,1159.62
04/04/2018 14.00,1154.35,,,1154.35
04/04/2018 14.15,1179.39,,,1179.39
04/04/2018 14.30,1178.26,,,1178.26
04/04/2018 14.45,1181.63,,,1181.63
04/04/2018 15.00,1185.2,,,1185.2
04/04/2018 15.15,1171.72,,,1171.72
04/04/2018 15.30,1196.23,,,1196.23
04/04/2018 15.45,1160.68,,,1160.68
04/04/2018 16.00,1143.6,,,1143.6
04/04/2018 16.15,1098.66,,,1098.66
04/04/2018 16.30,1053.64,,,1053.64
04/04/2018 16.45,998.58,,,998.58
04/04/2018 17.00,942.54,,,942.54
04/04/2018 17.15,915.14,,,915.14
04/04/2018 17.30,897.25,,,897.25
04/04/2018 17.45,880.14,,,880.14
04/04/2018 18.00,854.93,,,854.93
04/04/2018 18.15,837.22,,,837.22
04/04/2018 18.30,809.22,,,809.22
04/04/2018 18.45,781.85,,,781.85
04/04/2018 19.00,759.47,,,759.47
04/04/2018 19.15,730.99,,,730.99
04/04/2018 19.30,713.12,,,713.12
04/04/2018 19.45,680.34,,,680.34
04/04/2018 20.00,656.44,,,656.44
04/04/2018 20.15,636.27,,,636.27
04/04/2018 20.30,608.61,,,608.61
04/04/2018 20.45,583.8,,,583.8
04/04/2018 21.00,577.79,,,577.79
04/04/2018 21.15,561.42,,,561.42
04/04/2018 21.30,556.01,,,556.01
04/04/2018 21.45,560.9,,,560.9
04/04/2018 22.00,563.88,,,563.88
04/04/2018 22.15,,562.09,,562.09
04/04/2018 22.30,,548.26,,548.26
04/04/2018 22.45,,541.51,,541.51
04/04/2018 23.00,,536.43,,536.43
04/04/2018 23.15,,530.97,,530.97
04/04/2018 23.30,,532.08,,532.08
04/04/2018 23.45,,530.84,,530.84
04/04/2018 24.00,,523.1,,523.1
05/04/2018 00.15,,519.34,,519.34
05/04/2018 00.30,,516.26,,516.26
05/04/2018 00.45,,512.06,,512.06
05/04/2018 01.00,,506.39,,506.39
05/04/2018 01.15,,504.65,,504.65
05/04/2018 01.30,,496.97,,496.97
05/04/2018 01.45,,502.18,,502.18
05/04/2018 02.00,,498.68,,498.68
05/04/2018 02.15,,495.18,,495.18
05/04/2018 02.30,,498.87,,498.87
05/04/2018 02.45,,499.81,,499.81
05/04/2018 03.00,,496.1,,496.1
05/04/2018 03.15,,491.97,,491.97
05/04/2018 03.30,,485.03,,485.03
05/04/2018 03.45,,478.1,,478.1
05/04/2018 04.00,,480.44,,480.44
05/04/2018 04.15,,485.82,,485.82
05/04/2018 04.30,,482.08,,482.08
05/04/2018 04.45,,479,,479
05/04/2018 05.00,,474,,474
05/04/2018 05.15,,480.81,,480.81
05/04/2018 05.30,,487.45,,487.45
05/04/2018 05.45,,498.71,,498.71
05/04/2018 06.00,,506.53,,506.53
05/04/2018 06.15,,529.06,,529.06
05/04/2018 06.30,,547.43,,547.43
05/04/2018 06.45,,559.38,,559.38
05/04/2018 07.00,,591.53,,591.53
05/04/2018 07.15,,640.15,,640.15
05/04/2018 07.30,,707.13,,707.13
05/04/2018 07.45,,781.56,,781.56
05/04/2018 08.00,,863.12,,863.12
05/04/2018 08.15,,928.41,,928.41
05/04/2018 08.30,,991.07,,991.07
05/04/2018 08.45,,1054.76,,1054.76
05/04/2018 09.00,,1063.53,,1063.53
05/04/2018 09.15,1068.27,,,1068.27
05/04/2018 09.30,1076.95,,,1076.95
05/04/2018 09.45,1082.93,,,1082.93
05/04/2018 10.00,1124.67,,,1124.67
05/04/2018 10.15,1096.66,,,1096.66
05/04/2018 10.30,1122.28,,,1122.28
05/04/2018 10.45,1144.15,,,1144.15
05/04/2018 11.00,1165.83,,,1165.83
05/04/2018 11.15,1172.83,,,1172.83
05/04/2018 11.30,1168.59,,,1168.59
05/04/2018 11.45,1195.2,,,1195.2
05/04/2018 12.00,1203.34,,,1203.34
05/04/2018 12.15,1152.07,,,1152.07
05/04/2018 12.30,1136.1,,,1136.1
05/04/2018 12.45,1087.74,,,1087.74
05/04/2018 13.00,1077.11,,,1077.11
05/04/2018 13.15,1084.85,,,1084.85
05/04/2018 13.30,1097.67,,,1097.67
05/04/2018 13.45,1044.26,,,1044.26
05/04/2018 14.00,1068.13,,,1068.13
05/04/2018 14.15,1108.67,,,1108.67
05/04/2018 14.30,1120.33,,,1120.33
05/04/2018 14.45,1121.12,,,1121.12
05/04/2018 15.00,1129.14,,,1129.14
05/04/2018 15.15,1096.08,,,1096.08
05/04/2018 15.30,1109.45,,,1109.45
05/04/2018 15.45,1129.25,,,1129.25
05/04/2018 16.00,1108.67,,,1108.67
05/04/2018 16.15,1041.05,,,1041.05
05/04/2018 16.30,984.18,,,984.18
05/04/2018 16.45,917.67,,,917.67
05/04/2018 17.00,879.3,,,879.3
05/04/2018 17.15,844.51,,,844.51
05/04/2018 17.30,808.08,,,808.08
05/04/2018 17.45,772.37,,,772.37
05/04/2018 18.00,750.26,,,750.26
05/04/2018 18.15,734.28,,,734.28
05/04/2018 18.30,728.11,,,728.11
05/04/2018 18.45,711.79,,,711.79
05/04/2018 19.00,700.34,,,700.34
05/04/2018 19.15,670.36,,,670.36
05/04/2018 19.30,663.68,,,663.68
05/04/2018 19.45,646.49,,,646.49
05/04/2018 20.00,620.23,,,620.23
05/04/2018 20.15,594.69,,,594.69
05/04/2018 20.30,585.35,,,585.35
05/04/2018 20.45,569.87,,,569.87
05/04/2018 21.00,548.11,,,548.11
05/04/2018 21.15,544.13,,,544.13
05/04/2018 21.30,530.22,,,530.22
05/04/2018 21.45,526.03,,,526.03
05/04/2018 22.00,519.22,,,519.22
05/04/2018 22.15,,510.58,,510.58
05/04/2018 22.30,,508,,508
05/04/2018 22.45,,504.32,,504.32
05/04/2018 23.00,,504.11,,504.11
05/04/2018 23.15,,500.53,,500.53
05/04/2018 23.30,,500.11,,500.11
05/04/2018 23.45,,498.39,,498.39
05/04/2018 24.00,,494.9,,494.9
06/04/2018 00.15,,,486.6,486.6
06/04/2018 00.30,,,484.61,484.61
06/04/2018 00.45,,,486.68,486.68
06/04/2018 01.00,,,480.2,480.2
06/04/2018 01.15,,,468.92,468.92
06/04/2018 01.30,,,469.86,469.86
06/04/2018 01.45,,,463.36,463.36
06/04/2018 02.00,,,461.94,461.94
06/04/2018 02.15,,,461.15,461.15
06/04/2018 02.30,,,456.68,456.68
06/04/2018 02.45,,,453.78,453.78
06/04/2018 03.00,,,457.92,457.92
06/04/2018 03.15,,,456.84,456.84
06/04/2018 03.30,,,450.83,450.83
06/04/2018 03.45,,,450.83,450.83
06/04/2018 04.00,,,453,453
06/04/2018 04.15,,,459.83,459.83
06/04/2018 04.30,,,453.86,453.86
06/04/2018 04.45,,,450.21,450.21
06/04/2018 05.00,,,450.04,450.04
06/04/2018 05.15,,,458.05,458.05
06/04/2018 05.30,,,461.45,461.45
06/04/2018 05.45,,,462.7,462.7
06/04/2018 06.00,,,466.99,466.99
06/04/2018 06.15,,,473.39,473.39
06/04/2018 06.30,,,462.5,462.5
06/04/2018 06.45,,,463.44,463.44
06/04/2018 07.00,,,463.55,463.55
06/04/2018 07.15,,,466.16,466.16
06/04/2018 07.30,,,467.2,467.2
06/04/2018 07.45,,,465.99,465.99
06/04/2018 08.00,,,465.08,465.08
06/04/2018 08.15,,,474.15,474.15
06/04/2018 08.30,,,477.44,477.44
06/04/2018 08.45,,,441.67,441.67
06/04/2018 09.00,,,404.04,404.04
06/04/2018 09.15,,,407.09,407.09
06/04/2018 09.30,,,432.55,432.55
06/04/2018 09.45,,,469.73,469.73
06/04/2018 10.00,,,497.34,497.34
06/04/2018 10.15,,,500.32,500.32
06/04/2018 10.30,,,492.79,492.79
06/04/2018 10.45,,,471.05,471.05
06/04/2018 11.00,,,465.76,465.76
06/04/2018 11.15,,,506.84,506.84
06/04/2018 11.30,,,485,485
06/04/2018 11.45,,,481.26,481.26
06/04/2018 12.00,,,458.02,458.02
06/04/2018 12.15,,,478.74,478.74
06/04/2018 12.30,,,473.16,473.16
06/04/2018 12.45,,,464.79,464.79
06/04/2018 13.00,,,475.21,475.21
06/04/2018 13.15,,,500.11,500.11
06/04/2018 13.30,,,467.45,467.45
06/04/2018 13.45,,,491.87,491.87
06/04/2018 14.00,,,498.16,498.16
06/04/2018 14.15,,,514.71,514.71
06/04/2018 14.30,,,510.89,510.89
06/04/2018 14.45,,,508.08,508.08
06/04/2018 15.00,,,514.16,514.16
06/04/2018 15.15,,,538.05,538.05
06/04/2018 15.30,,,559.8,559.8
06/04/2018 15.45,,,566.42,566.42
06/04/2018 16.00,,,556.8,556.8
06/04/2018 16.15,,,543.47,543.47
06/04/2018 16.30,,,530.76,530.76
06/04/2018 16.45,,,533.21,533.21
06/04/2018 17.00,,,544.16,544.16
06/04/2018 17.15,,,544.85,544.85
06/04/2018 17.30,,,530.34,530.34
06/04/2018 17.45,,,524.1,524.1
06/04/2018 18.00,,,527.82,527.82
06/04/2018 18.15,,,531.58,531.58
06/04/2018 18.30,,,539.32,539.32
06/04/2018 18.45,,,545.19,545.19
06/04/2018 19.00,,,544.06,544.06
06/04/2018 19.15,,,541.5,541.5
06/04/2018 19.30,,,541.79,541.79
06/04/2018 19.45,,,533.93,533.93
06/04/2018 20.00,,,525.72,525.72
06/04/2018 20.15,,,515.68,515.68
06/04/2018 20.30,,,508.82,508.82
06/04/2018 20.45,,,510.55,510.55
06/04/2018 21.00,,,504.18,504.18
06/04/2018 21.15,,,502.15,502.15
06/04/2018 21.30,,,495.24,495.24
06/04/2018 21.45,,,491.95,491.95
06/04/2018 22.00,,,493.87,493.87
06/04/2018 22.15,,,491.89,491.89
06/04/2018 22.30,,,493.1,493.1
06/04/2018 22.45,,,497.76,497.76
06/04/2018 23.00,,,499.29,499.29
06/04/2018 23.15,,,488.42,488.42
06/04/2018 23.30,,,491.61,491.61
06/04/2018 23.45,,,495.68,495.68
06/04/2018 24.00,,,489.61,489.61
07/04/2018 00.15,,,484.44,484.44
07/04/2018 00.30,,,489.21,489.21
07/04/2018 00.45,,,483.81,483.81
07/04/2018 01.00,,,480.18,480.18
07/04/2018 01.15,,,484.78,484.78
07/04/2018 01.30,,,481.24,481.24
07/04/2018 01.45,,,479.4,479.4
07/04/2018 02.00,,,479.36,479.36
07/04/2018 02.15,,,477.11,477.11
07/04/2018 02.30,,,467.16,467.16
07/04/2018 02.45,,,465.24,465.24
07/04/2018 03.00,,,453.26,453.26
07/04/2018 03.15,,,451.08,451.08
07/04/2018 03.30,,,443.89,443.89
07/04/2018 03.45,,,442.86,442.86
07/04/2018 04.00,,,445.81,445.81
07/04/2018 04.15,,,449.79,449.79
07/04/2018 04.30,,,443.2,443.2
07/04/2018 04.45,,,437.86,437.86
07/04/2018 05.00,,,434.89,434.89
07/04/2018 05.15,,,441.76,441.76
07/04/2018 05.30,,,444.55,444.55
07/04/2018 05.45,,,443.44,443.44
07/04/2018 06.00,,,450.58,450.58
07/04/2018 06.15,,,465.08,465.08
07/04/2018 06.30,,,460.92,460.92
07/04/2018 06.45,,,470.5,470.5
07/04/2018 07.00,,,493.18,493.18
07/04/2018 07.15,,,501.87,501.87
07/04/2018 07.30,,,508.39,508.39
07/04/2018 07.45,,,517.31,517.31
07/04/2018 08.00,,,542.06,542.06
07/04/2018 08.15,,,563.01,563.01
07/04/2018 08.30,,,586.11,586.11
07/04/2018 08.45,,,622.28,622.28
07/04/2018 09.00,,,627.38,627.38
07/04/2018 09.15,,,613.38,613.38
07/04/2018 09.30,,,611.93,611.93
07/04/2018 09.45,,,615.51,615.51
07/04/2018 10.00,,,607.7,607.7
07/04/2018 10.15,,,595.93,595.93
07/04/2018 10.30,,,580.33,580.33
07/04/2018 10.45,,,600.07,600.07
07/04/2018 11.00,,,619.82,619.82
07/04/2018 11.15,,,641.65,641.65
07/04/2018 11.30,,,641.85,641.85
07/04/2018 11.45,,,605.99,605.99
07/04/2018 12.00,,,585.08,585.08
07/04/2018 12.15,,,586.27,586.27
07/04/2018 12.30,,,608.75,608.75
07/04/2018 12.45,,,602.91,602.91
07/04/2018 13.00,,,585.01,585.01
07/04/2018 13.15,,,594.8,594.8
07/04/2018 13.30,,,583.99,583.99
07/04/2018 13.45,,,595.06,595.06
07/04/2018 14.00,,,605.64,605.64
07/04/2018 14.15,,,586.27,586.27
07/04/2018 14.30,,,601.33,601.33
07/04/2018 14.45,,,598.75,598.75
07/04/2018 15.00,,,593.19,593.19
07/04/2018 15.15,,,593.82,593.82
07/04/2018 15.30,,,581.91,581.91
