,RATE A,RATE B,RATE C,Total
03/08/2018 11.30,1069.85,,,1069.85
03/08/2018 11.45,1087.04,,,1087.04
03/08/2018 12.00,1078.66,,,1078.66
03/08/2018 12.15,1052.84,,,1052.84
03/08/2018 12.30,1043.14,,,1043.14
03/08/2018 12.45,1005.18,,,1005.18
03/08/2018 13.00,1024.69,,,1024.69
03/08/2018 13.15,1040.55,,,1040.55
03/08/2018 13.30,1094.4,,,1094.4
03/08/2018 13.45,1114.65,,,1114.65
03/08/2018 14.00,1123.57,,,1123.57
03/08/2018 14.15,1129.01,,,1129.01
03/08/2018 14.30,1124.86,,,1124.86
03/08/2018 14.45,1111.09,,,1111.09
03/08/2018 15.00,1097.37,,,1097.37
03/08/2018 15.15,1099.45,,,1099.45
03/08/2018 15.30,1094.99,,,1094.99
03/08/2018 15.45,1061.67,,,1061.67
03/08/2018 16.00,1042.66,,,1042.66
03/08/2018 16.15,1003.65,,,1003.65
03/08/2018 16.30,970.34,,,970.34
03/08/2018 16.45,922.1,,,922.1
03/08/2018 17.00,884.01,,,884.01
03/08/2018 17.15,845.99,,,845.99
03/08/2018 17.30,828.51,,,828.51
03/08/2018 17.45,791.18,,,791.18
03/08/2018 18.00,781.1,,,781.1
03/08/2018 18.15,758.84,,,758.84
03/08/2018 18.30,745.84,,,745.84
03/08/2018 18.45,736.86,,,736.86
03/08/2018 19.00,713.1,,,713.1
03/08/2018 19.15,691.52,,,691.52
03/08/2018 19.30,673.22,,,673.22
03/08/2018 19.45,640.98,,,640.98
03/08/2018 20.00,608.61,,,608.61
03/08/2018 20.15,586.99,,,586.99
03/08/2018 20.30,571.93,,,571.93
03/08/2018 20.45,551.55,,,551.55
03/08/2018 21.00,536.09,,,536.09
03/08/2018 21.15,535.74,,,535.74
03/08/2018 21.30,530.53,,,530.53
03/08/2018 21.45,519.93,,,519.93
03/08/2018 22.00,516.43,,,516.43
03/08/2018 22.15,,519.42,,519.42
03/08/2018 22.30,,519.82,,519.82
03/08/2018 22.45,,516.42,,516.42
03/08/2018 23.00,,509.92,,509.92
03/08/2018 23.15,,506.55,,506.55
03/08/2018 23.30,,507.52,,507.52
03/08/2018 23.45,,506.08,,506.08
03/08/2018 24.00,,506.05,,506.05
04/08/2018 00.15,,,501.08,501.08
04/08/2018 00.30,,,500.74,500.74
04/08/2018 00.45,,,503.53,503.53
04/08/2018 01.00,,,500.32,500.32
04/08/2018 01.15,,,497.92,497.92
04/08/2018 01.30,,,493.34,493.34
04/08/2018 01.45,,,486.21,486.21
04/08/2018 02.00,,,486.98,486.98
04/08/2018 02.15,,,484.61,484.61
04/08/2018 02.30,,,488.21,488.21
04/08/2018 02.45,,,481.4,481.4
04/08/2018 03.00,,,477.65,477.65
04/08/2018 03.15,,,472.24,472.24
04/08/2018 03.30,,,465.58,465.58
04/08/2018 03.45,,,467.03,467.03
04/08/2018 04.00,,,468.6,468.6
04/08/2018 04.15,,,466.13,466.13
04/08/2018 04.30,,,467.6,467.6
04/08/2018 04.45,,,462.86,462.86
04/08/2018 05.00,,,465.34,465.34
04/08/2018 05.15,,,475.91,475.91
04/08/2018 05.30,,,475.11,475.11
04/08/2018 05.45,,,482.61,482.61
04/08/2018 06.00,,,488.05,488.05
04/08/2018 06.15,,,486.98,486.98
04/08/2018 06.30,,,482.55,482.55
04/08/2018 06.45,,,494.07,494.07
04/08/2018 07.00,,,512.06,512.06
04/08/2018 07.15,,,514.73,514.73
04/08/2018 07.30,,,536.35,536.35
04/08/2018 07.45,,,568.79,568.79
04/08/2018 08.00,,,589.61,589.61
04/08/2018 08.15,,,599.22,599.22
04/08/2018 08.30,,,639.31,639.31
04/08/2018 08.45,,,668.28,668.28
04/08/2018 09.00,,,683.97,683.97
04/08/2018 09.15,,,688.6,688.6
04/08/2018 09.30,,,690.1,690.1
04/08/2018 09.45,,,680.33,680.33
04/08/2018 10.00,,,692.65,692.65
04/08/2018 10.15,,,659.41,659.41
04/08/2018 10.30,,,638.73,638.73
04/08/2018 10.45,,,692.47,692.47
04/08/2018 11.00,,,657.38,657.38
04/08/2018 11.15,,,652.14,652.14
